Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/Flow_Cell_Batch/75mM_NaCl/WT/WT_2p5_75NaCl_pH72_Avg.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/Flow_Cell_Batch/75mM_NaCl/WT/B_75NaCl_pH72_2_Avg.dat
  1.998260e-02   4.522913e-02   8.740558e-04
  2.011380e-02   4.305890e-02   8.570898e-04
  2.024501e-02   4.487623e-02   8.546766e-04
  2.037622e-02   4.495742e-02   8.593611e-04
  2.050743e-02   4.535911e-02   8.449105e-04
  2.063864e-02   4.311579e-02   8.432622e-04
  2.076985e-02   4.368069e-02   8.482339e-04
  2.090106e-02   4.351914e-02   8.264458e-04
  2.103226e-02   4.390566e-02   8.408240e-04
  2.116347e-02   4.148163e-02   8.294980e-04
  2.129468e-02   4.243313e-02   8.258197e-04
  2.142589e-02   4.277220e-02   8.307686e-04
  2.155710e-02   4.066308e-02   8.130578e-04
  2.168831e-02   4.252426e-02   8.182780e-04
  2.181952e-02   4.224266e-02   8.193467e-04
  2.195072e-02   3.973735e-02   7.970791e-04
  2.208193e-02   3.955438e-02   8.116002e-04
  2.221314e-02   4.073192e-02   8.063737e-04
  2.234435e-02   3.982295e-02   7.991745e-04
  2.247556e-02   3.955269e-02   8.058472e-04
  2.260677e-02   3.963617e-02   7.911792e-04
  2.273797e-02   3.847747e-02   7.878143e-04
  2.286918e-02   3.955508e-02   7.958239e-04
  2.300039e-02   3.902817e-02   7.820359e-04
  2.313160e-02   3.856203e-02   7.828139e-04
  2.326281e-02   3.891806e-02   7.767424e-04
  2.339402e-02   3.752690e-02   7.743646e-04
  2.352523e-02   3.712360e-02   7.774626e-04
  2.365643e-02   3.691172e-02   7.674948e-04
  2.378764e-02   3.743108e-02   7.659472e-04
  2.391885e-02   3.626084e-02   7.695963e-04
  2.405006e-02   3.757426e-02   7.566711e-04
  2.418127e-02   3.650741e-02   7.631992e-04
  2.431248e-02   3.658424e-02   7.519431e-04
  2.444368e-02   3.695576e-02   7.568632e-04
  2.457489e-02   3.610017e-02   7.542153e-04
  2.470610e-02   3.630270e-02   7.495517e-04
  2.483731e-02   3.413418e-02   7.418696e-04
  2.496852e-02   3.501117e-02   7.468625e-04
  2.509973e-02   3.480911e-02   7.373547e-04
  2.523093e-02   3.456278e-02   7.436163e-04
  2.536214e-02   3.444624e-02   7.368743e-04
  2.549335e-02   3.364799e-02   7.323889e-04
  2.562456e-02   3.489365e-02   7.389467e-04
  2.575577e-02   3.338829e-02   7.228304e-04
  2.588698e-02   3.257381e-02   7.262329e-04
  2.601818e-02   3.334124e-02   7.296111e-04
  2.614939e-02   3.310863e-02   7.185625e-04
  2.628060e-02   3.276297e-02   7.213018e-04
  2.641181e-02   3.173497e-02   7.170125e-04
  2.654302e-02   3.223418e-02   7.124960e-04
  2.667423e-02   3.293011e-02   7.192940e-04
  2.680544e-02   3.199619e-02   7.068210e-04
  2.693664e-02   3.177939e-02   7.092631e-04
  2.706785e-02   3.240136e-02   7.092888e-04
  2.719906e-02   3.216052e-02   6.994881e-04
  2.733027e-02   3.233355e-02   7.023106e-04
  2.746148e-02   3.127282e-02   7.006031e-04
  2.759269e-02   3.202945e-02   6.993658e-04
  2.772389e-02   3.175035e-02   7.003553e-04
  2.785510e-02   3.122701e-02   6.881055e-04
  2.798631e-02   3.059936e-02   6.910337e-04
  2.811752e-02   3.127531e-02   6.922376e-04
  2.824873e-02   3.069580e-02   6.876318e-04
  2.837994e-02   2.964037e-02   6.852165e-04
  2.851115e-02   2.942223e-02   6.839315e-04
  2.864235e-02   3.042301e-02   6.795077e-04
  2.877356e-02   2.887694e-02   6.836202e-04
  2.890477e-02   2.939261e-02   6.741065e-04
  2.903598e-02   2.887245e-02   6.765923e-04
  2.916719e-02   2.833344e-02   6.745271e-04
  2.929840e-02   2.908746e-02   6.690448e-04
  2.942961e-02   2.839151e-02   6.702521e-04
  2.956081e-02   2.928345e-02   6.684639e-04
  2.969202e-02   2.828581e-02   6.677050e-04
  2.982323e-02   2.819251e-02   6.699675e-04
  2.995444e-02   2.816288e-02   6.608915e-04
  3.008565e-02   2.779655e-02   6.634951e-04
  3.021686e-02   2.855952e-02   6.602058e-04
  3.034806e-02   2.790705e-02   6.566563e-04
  3.047927e-02   2.742360e-02   6.575971e-04
  3.061048e-02   2.628607e-02   6.568949e-04
  3.074169e-02   2.700448e-02   6.514591e-04
  3.087290e-02   2.717091e-02   6.566271e-04
  3.100411e-02   2.575147e-02   6.436814e-04
  3.113532e-02   2.620760e-02   6.536338e-04
  3.126652e-02   2.665053e-02   6.569982e-04
  3.139773e-02   2.683761e-02   6.560255e-04
  3.152894e-02   2.535151e-02   6.601584e-04
  3.166015e-02   2.552396e-02   6.615605e-04
  3.179136e-02   2.656486e-02   6.606581e-04
  3.192257e-02   2.677729e-02   6.705496e-04
  3.205377e-02   2.545024e-02   6.606957e-04
  3.218498e-02   2.514087e-02   6.645403e-04
  3.231619e-02   2.506284e-02   6.647140e-04
  3.244740e-02   2.454241e-02   6.600778e-04
  3.257861e-02   2.474359e-02   6.651822e-04
  3.270982e-02   2.469919e-02   6.632630e-04
  3.284103e-02   2.479105e-02   6.635850e-04
  3.297223e-02   2.526832e-02   6.673617e-04
  3.310344e-02   2.324915e-02   6.583974e-04
  3.323465e-02   2.397879e-02   6.612913e-04
  3.336586e-02   2.374004e-02   6.621227e-04
  3.349707e-02   2.372796e-02   6.597747e-04
  3.362827e-02   2.345344e-02   6.641798e-04
  3.375948e-02   2.303785e-02   6.602659e-04
  3.389069e-02   2.294758e-02   6.575189e-04
  3.402190e-02   2.438380e-02   6.671952e-04
  3.415311e-02   2.271744e-02   6.563871e-04
  3.428432e-02   2.292678e-02   6.600888e-04
  3.441553e-02   2.243873e-02   6.613457e-04
  3.454673e-02   2.349227e-02   6.583785e-04
  3.467794e-02   2.268492e-02   6.577989e-04
  3.480915e-02   2.235451e-02   6.560155e-04
  3.494036e-02   2.264298e-02   6.594012e-04
  3.507157e-02   2.281223e-02   6.637270e-04
  3.520278e-02   2.154466e-02   6.522637e-04
  3.533398e-02   2.221857e-02   6.528089e-04
  3.546519e-02   2.186836e-02   6.564675e-04
  3.559640e-02   2.217790e-02   6.521262e-04
  3.572761e-02   2.136815e-02   6.607637e-04
  3.585882e-02   2.187073e-02   6.505707e-04
  3.599003e-02   2.181852e-02   6.497329e-04
  3.612124e-02   2.177399e-02   6.530329e-04
  3.625244e-02   2.052282e-02   6.350947e-04
  3.638365e-02   2.120734e-02   6.361838e-04
  3.651486e-02   2.116258e-02   6.314277e-04
  3.664607e-02   2.030598e-02   6.269798e-04
  3.677728e-02   2.071504e-02   6.309307e-04
  3.690849e-02   2.066996e-02   6.179720e-04
  3.703969e-02   2.041906e-02   6.195973e-04
  3.717090e-02   1.981660e-02   6.206942e-04
  3.730211e-02   2.080348e-02   6.142348e-04
  3.743332e-02   2.058911e-02   6.137686e-04
  3.756453e-02   1.987352e-02   6.138826e-04
  3.769574e-02   1.952253e-02   6.053245e-04
  3.782695e-02   2.006254e-02   6.133068e-04
  3.795815e-02   1.934780e-02   6.021852e-04
  3.808936e-02   1.935814e-02   6.025259e-04
  3.822057e-02   2.008745e-02   6.015264e-04
  3.835178e-02   1.938446e-02   6.038472e-04
  3.848299e-02   1.898166e-02   6.086399e-04
  3.861420e-02   1.939708e-02   6.154754e-04
  3.874540e-02   1.964949e-02   6.083715e-04
  3.887661e-02   2.040384e-02   6.162163e-04
  3.900782e-02   1.925766e-02   6.086367e-04
  3.913903e-02   1.873852e-02   6.089143e-04
  3.927024e-02   1.898226e-02   6.125060e-04
  3.940145e-02   1.818899e-02   6.059435e-04
  3.953265e-02   1.832895e-02   6.083494e-04
  3.966386e-02   1.820105e-02   6.078812e-04
  3.979507e-02   1.919220e-02   6.057057e-04
  3.992628e-02   1.780013e-02   6.069848e-04
  4.005749e-02   1.862584e-02   6.025569e-04
  4.018870e-02   1.836913e-02   6.078291e-04
  4.031991e-02   1.861378e-02   6.093942e-04
  4.045112e-02   1.756105e-02   6.029521e-04
  4.058232e-02   1.752757e-02   6.048361e-04
  4.071353e-02   1.757800e-02   6.057269e-04
  4.084474e-02   1.775144e-02   6.002045e-04
  4.097595e-02   1.736997e-02   6.081667e-04
  4.110716e-02   1.778687e-02   5.995491e-04
  4.123836e-02   1.777170e-02   6.032738e-04
  4.136957e-02   1.705907e-02   6.018679e-04
  4.150078e-02   1.711486e-02   5.988888e-04
  4.163199e-02   1.655135e-02   6.011221e-04
  4.176320e-02   1.695441e-02   6.023357e-04
  4.189441e-02   1.650516e-02   5.980171e-04
  4.202562e-02   1.692978e-02   6.056451e-04
  4.215682e-02   1.677902e-02   5.952136e-04
  4.228803e-02   1.633365e-02   5.991599e-04
  4.241924e-02   1.637347e-02   6.013502e-04
  4.255045e-02   1.716462e-02   5.970294e-04
  4.268166e-02   1.661456e-02   6.006744e-04
  4.281287e-02   1.592614e-02   5.973394e-04
  4.294407e-02   1.663911e-02   5.913801e-04
  4.307528e-02   1.615888e-02   5.990193e-04
  4.320649e-02   1.662784e-02   5.909125e-04
  4.333770e-02   1.568853e-02   5.979896e-04
  4.346891e-02   1.679929e-02   5.990863e-04
  4.360012e-02   1.515591e-02   5.898610e-04
  4.373133e-02   1.671629e-02   5.940025e-04
  4.386253e-02   1.514713e-02   5.928558e-04
  4.399374e-02   1.592005e-02   5.897835e-04
  4.412495e-02   1.579213e-02   5.956581e-04
  4.425616e-02   1.523430e-02   5.912851e-04
  4.438737e-02   1.504418e-02   5.922520e-04
  4.451858e-02   1.558317e-02   5.906283e-04
  4.464978e-02   1.555443e-02   5.850640e-04
  4.478099e-02   1.513125e-02   5.927403e-04
  4.491220e-02   1.419317e-02   5.912848e-04
  4.504341e-02   1.515118e-02   5.898671e-04
  4.517462e-02   1.508742e-02   5.879248e-04
  4.530583e-02   1.498861e-02   5.865962e-04
  4.543704e-02   1.398097e-02   5.877624e-04
  4.556824e-02   1.502655e-02   5.865396e-04
  4.569945e-02   1.481833e-02   5.960608e-04
  4.583066e-02   1.450106e-02   6.019793e-04
  4.596187e-02   1.469828e-02   5.975312e-04
  4.609308e-02   1.463579e-02   6.044001e-04
  4.622429e-02   1.520904e-02   6.082109e-04
  4.635549e-02   1.466854e-02   6.040504e-04
  4.648670e-02   1.404183e-02   6.109409e-04
  4.661791e-02   1.369006e-02   6.118389e-04
  4.674912e-02   1.433141e-02   6.076241e-04
  4.688033e-02   1.462808e-02   6.126209e-04
  4.701154e-02   1.476361e-02   6.134644e-04
  4.714274e-02   1.368586e-02   6.162074e-04
  4.727395e-02   1.485574e-02   6.207953e-04
  4.740516e-02   1.366643e-02   6.128991e-04
  4.753637e-02   1.424253e-02   6.189521e-04
  4.766758e-02   1.421897e-02   6.188419e-04
  4.779879e-02   1.418038e-02   6.175310e-04
  4.793000e-02   1.392822e-02   6.222782e-04
  4.806121e-02   1.322294e-02   6.191041e-04
  4.819241e-02   1.314259e-02   6.223060e-04
  4.832362e-02   1.370614e-02   6.239747e-04
  4.845483e-02   1.344739e-02   6.195139e-04
  4.858604e-02   1.306617e-02   6.264839e-04
  4.871725e-02   1.425750e-02   6.280092e-04
  4.884845e-02   1.289649e-02   6.219342e-04
  4.897966e-02   1.332580e-02   6.288698e-04
  4.911087e-02   1.419417e-02   6.233309e-04
  4.924208e-02   1.237760e-02   6.269307e-04
  4.937329e-02   1.307830e-02   6.326171e-04
  4.950450e-02   1.322107e-02   6.282959e-04
  4.963571e-02   1.168866e-02   6.265721e-04
  4.976691e-02   1.291034e-02   6.329776e-04
  4.989812e-02   1.278686e-02   6.286669e-04
  5.002933e-02   1.233033e-02   6.328924e-04
  5.016054e-02   1.244406e-02   6.325024e-04
  5.029175e-02   1.266207e-02   6.316999e-04
  5.042296e-02   1.227600e-02   6.303725e-04
  5.055416e-02   1.281284e-02   6.315648e-04
  5.068537e-02   1.230306e-02   6.316320e-04
  5.081658e-02   1.189040e-02   6.350748e-04
  5.094779e-02   1.185978e-02   6.318989e-04
  5.107900e-02   1.304132e-02   6.357707e-04
  5.121021e-02   1.203237e-02   6.328260e-04
  5.134142e-02   1.290435e-02   6.315257e-04
  5.147262e-02   1.220408e-02   6.374103e-04
  5.160383e-02   1.197626e-02   6.302595e-04
  5.173504e-02   1.257478e-02   6.373507e-04
  5.186625e-02   1.235344e-02   6.387026e-04
  5.199746e-02   1.183489e-02   6.319220e-04
  5.212867e-02   1.280362e-02   6.374413e-04
  5.225987e-02   1.199252e-02   6.361911e-04
  5.239108e-02   1.111361e-02   6.354565e-04
  5.252229e-02   1.106058e-02   6.447159e-04
  5.265350e-02   1.164137e-02   6.330225e-04
  5.278471e-02   1.270211e-02   6.401517e-04
  5.291592e-02   1.123625e-02   6.411175e-04
  5.304713e-02   1.195501e-02   6.367691e-04
  5.317833e-02   1.197312e-02   6.417162e-04
  5.330954e-02   1.130873e-02   6.392790e-04
  5.344075e-02   1.129053e-02   6.399525e-04
  5.357196e-02   1.133699e-02   6.427198e-04
  5.370317e-02   1.253191e-02   6.403910e-04
  5.383438e-02   1.153383e-02   6.380269e-04
  5.396559e-02   1.059784e-02   6.427358e-04
  5.409679e-02   1.151239e-02   6.374363e-04
  5.422800e-02   1.136094e-02   6.450759e-04
  5.435921e-02   1.156234e-02   6.413595e-04
  5.449042e-02   1.065126e-02   6.395467e-04
  5.462163e-02   1.195145e-02   6.480633e-04
  5.475283e-02   1.084539e-02   6.434574e-04
  5.488404e-02   1.099443e-02   6.404517e-04
  5.501525e-02   9.960130e-03   6.484842e-04
  5.514646e-02   1.027365e-02   6.377165e-04
  5.527767e-02   1.081935e-02   6.455884e-04
  5.540888e-02   1.068310e-02   6.465560e-04
  5.554009e-02   1.121178e-02   6.367025e-04
  5.567129e-02   1.173538e-02   6.448432e-04
  5.580250e-02   1.050645e-02   6.409671e-04
  5.593371e-02   1.050589e-02   6.393746e-04
  5.606492e-02   1.039880e-02   6.440322e-04
  5.619613e-02   1.081724e-02   6.374517e-04
  5.632734e-02   9.991630e-03   6.418692e-04
  5.645854e-02   1.050274e-02   6.430939e-04
  5.658975e-02   1.029737e-02   6.369598e-04
  5.672096e-02   9.943740e-03   6.393535e-04
  5.685217e-02   1.002838e-02   6.394588e-04
  5.698338e-02   9.655940e-03   6.383103e-04
  5.711459e-02   9.371660e-03   6.396606e-04
  5.724580e-02   1.057062e-02   6.350790e-04
  5.737700e-02   8.917250e-03   6.367012e-04
  5.750821e-02   9.810460e-03   6.392772e-04
  5.763942e-02   1.081255e-02   6.379635e-04
  5.777063e-02   9.875280e-03   6.372564e-04
  5.790184e-02   9.477720e-03   6.398067e-04
  5.803305e-02   9.472520e-03   6.348645e-04
  5.816425e-02   1.007182e-02   6.372982e-04
  5.829546e-02   9.190930e-03   6.366366e-04
  5.842667e-02   9.822650e-03   6.360492e-04
  5.855788e-02   9.537510e-03   6.389216e-04
  5.868909e-02   9.713460e-03   6.346210e-04
  5.882030e-02   9.499270e-03   6.402126e-04
  5.895151e-02   1.003148e-02   6.353932e-04
  5.908271e-02   1.020436e-02   6.355246e-04
  5.921392e-02   9.478710e-03   6.423768e-04
  5.934513e-02   8.777770e-03   6.370352e-04
  5.947634e-02   9.671820e-03   6.404348e-04
  5.960755e-02   9.460790e-03   6.365509e-04
  5.973876e-02   9.357250e-03   6.367623e-04
  5.986996e-02   9.767010e-03   6.409613e-04
  6.000117e-02   9.466110e-03   6.413639e-04
  6.013238e-02   9.779790e-03   6.316025e-04
  6.026359e-02   9.009360e-03   6.398155e-04
  6.039480e-02   8.788220e-03   6.299821e-04
  6.052601e-02   9.684040e-03   6.365859e-04
  6.065722e-02   9.875660e-03   6.343821e-04
  6.078842e-02   9.494000e-03   6.322210e-04
  6.091963e-02   9.142650e-03   6.375422e-04
  6.105084e-02   9.042000e-03   6.340413e-04
  6.118205e-02   8.621070e-03   6.298678e-04
  6.131326e-02   9.509730e-03   6.368663e-04
  6.144447e-02   8.271930e-03   6.291232e-04
  6.157568e-02   8.179640e-03   6.343458e-04
  6.170688e-02   8.218790e-03   6.350079e-04
  6.183809e-02   8.882670e-03   6.303808e-04
  6.196930e-02   9.042960e-03   6.312526e-04
  6.210051e-02   9.035470e-03   6.311603e-04
  6.223172e-02   9.052080e-03   6.304057e-04
  6.236292e-02   8.275980e-03   6.341515e-04
  6.249413e-02   8.430780e-03   6.247564e-04
  6.262534e-02   8.781350e-03   6.306879e-04
  6.275655e-02   8.731980e-03   6.313951e-04
  6.288776e-02   9.081850e-03   6.277918e-04
  6.301897e-02   8.683150e-03   6.301067e-04
  6.315018e-02   9.577100e-03   6.290769e-04
  6.328138e-02   7.892540e-03   6.261001e-04
  6.341259e-02   8.794530e-03   6.334821e-04
  6.354380e-02   8.449870e-03   6.253173e-04
  6.367501e-02   8.175810e-03   6.268962e-04
  6.380622e-02   8.900770e-03   6.297567e-04
  6.393743e-02   8.206630e-03   6.254359e-04
  6.406863e-02   7.436920e-03   6.278296e-04
  6.419984e-02   8.822860e-03   6.258939e-04
  6.433105e-02   8.514950e-03   6.266061e-04
  6.446226e-02   7.832760e-03   6.270640e-04
  6.459347e-02   8.900150e-03   6.281713e-04
  6.472468e-02   7.596050e-03   6.276102e-04
  6.485589e-02   7.355160e-03   6.276436e-04
  6.498709e-02   9.145260e-03   6.215896e-04
  6.511830e-02   8.613440e-03   6.223764e-04
  6.524951e-02   8.772920e-03   6.251879e-04
  6.538072e-02   8.418610e-03   6.256997e-04
  6.551193e-02   8.096310e-03   6.227147e-04
  6.564314e-02   8.740920e-03   6.223462e-04
  6.577434e-02   8.000750e-03   6.229681e-04
  6.590555e-02   8.002390e-03   6.217878e-04
  6.603676e-02   7.848710e-03   6.194740e-04
  6.616797e-02   8.126750e-03   6.236973e-04
  6.629918e-02   8.268050e-03   6.177938e-04
  6.643039e-02   8.132930e-03   6.188323e-04
  6.656160e-02   8.799020e-03   6.203578e-04
  6.669280e-02   8.239000e-03   6.205710e-04
  6.682401e-02   7.145900e-03   6.226866e-04
  6.695522e-02   8.481820e-03   6.198201e-04
  6.708643e-02   8.043150e-03   6.178176e-04
  6.721764e-02   7.457660e-03   6.187740e-04
  6.734885e-02   7.849830e-03   6.177404e-04
  6.748005e-02   7.844330e-03   6.202620e-04
  6.761126e-02   8.009240e-03   6.174350e-04
  6.774247e-02   7.512130e-03   6.152087e-04
  6.787368e-02   7.846420e-03   6.160860e-04
  6.800489e-02   7.531330e-03   6.193990e-04
  6.813610e-02   7.870620e-03   6.118523e-04
  6.826731e-02   7.466380e-03   6.212604e-04
  6.839851e-02   7.480930e-03   6.166678e-04
  6.852972e-02   7.428730e-03   6.137107e-04
  6.866093e-02   7.975390e-03   6.174206e-04
  6.879214e-02   7.201460e-03   6.130252e-04
  6.892335e-02   6.786180e-03   6.138159e-04
  6.905456e-02   8.198170e-03   6.181587e-04
  6.918576e-02   6.955920e-03   6.124570e-04
  6.931697e-02   7.325290e-03   6.153970e-04
  6.944818e-02   6.602220e-03   6.121687e-04
  6.957939e-02   7.418390e-03   6.136887e-04
  6.971060e-02   6.982870e-03   6.137268e-04
  6.984181e-02   7.124000e-03   6.149272e-04
  6.997301e-02   7.673740e-03   6.102677e-04
  7.010422e-02   6.762710e-03   6.119238e-04
  7.023543e-02   8.311250e-03   6.075497e-04
  7.036664e-02   6.436130e-03   6.128965e-04
  7.049785e-02   6.433750e-03   6.089192e-04
  7.062906e-02   7.198870e-03   6.101532e-04
  7.076027e-02   7.960130e-03   6.112236e-04
  7.089147e-02   7.873950e-03   6.071306e-04
  7.102268e-02   6.338430e-03   6.046441e-04
  7.115389e-02   6.200460e-03   6.105568e-04
  7.128510e-02   7.054220e-03   6.039093e-04
  7.141631e-02   6.906420e-03   6.126417e-04
  7.154752e-02   7.356550e-03   6.062150e-04
  7.167872e-02   6.416380e-03   6.059352e-04
  7.180993e-02   6.809590e-03   6.062471e-04
  7.194114e-02   7.493200e-03   6.055640e-04
  7.207235e-02   6.959770e-03   6.070378e-04
  7.220356e-02   6.765650e-03   6.078841e-04
  7.233477e-02   6.840830e-03   6.044808e-04
  7.246598e-02   6.671160e-03   6.055429e-04
  7.259718e-02   6.576230e-03   6.036144e-04
  7.272839e-02   6.743500e-03   6.044200e-04
  7.285960e-02   7.627070e-03   6.052890e-04
  7.299081e-02   6.789930e-03   6.035749e-04
  7.312202e-02   6.967600e-03   6.047456e-04
  7.325323e-02   6.251370e-03   6.061218e-04
  7.338443e-02   6.925630e-03   6.005113e-04
  7.351564e-02   6.578950e-03   6.056163e-04
  7.364685e-02   7.070560e-03   6.051516e-04
  7.377806e-02   6.932980e-03   6.027023e-04
  7.390927e-02   6.539770e-03   6.029625e-04
  7.404048e-02   6.957550e-03   6.017846e-04
  7.417169e-02   6.833910e-03   6.043477e-04
  7.430289e-02   6.229190e-03   6.034333e-04
  7.443410e-02   6.420280e-03   5.988201e-04
  7.456531e-02   6.994550e-03   6.029647e-04
  7.469652e-02   6.467120e-03   5.969777e-04
  7.482773e-02   6.785800e-03   6.021801e-04
  7.495894e-02   6.143340e-03   6.007524e-04
  7.509014e-02   6.120690e-03   5.967609e-04
  7.522135e-02   6.346590e-03   6.001303e-04
  7.535256e-02   6.939690e-03   5.997566e-04
