Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03300_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03301_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03302_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03306_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03307_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03308_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03312_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03313_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03314_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03316_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03317_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03318_WT_2p5_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03319_WT_2p5_75_NaCl.dat  
  4.500000e-03   5.194199e-01   5.212475e-03
  4.631208e-03   4.593865e-01   5.001018e-03
  4.762417e-03   4.316166e-01   4.470611e-03
  4.893625e-03   4.025165e-01   4.153851e-03
  5.024834e-03   3.743688e-01   4.006064e-03
  5.156042e-03   3.481763e-01   3.604802e-03
  5.287251e-03   3.238340e-01   3.444652e-03
  5.418459e-03   3.064685e-01   3.306656e-03
  5.549668e-03   2.890630e-01   3.005856e-03
  5.680876e-03   2.745454e-01   3.001253e-03
  5.812085e-03   2.625705e-01   2.780738e-03
  5.943293e-03   2.523212e-01   2.689127e-03
  6.074501e-03   2.436523e-01   2.671040e-03
  6.205710e-03   2.292720e-01   2.436846e-03
  6.336918e-03   2.219626e-01   2.453399e-03
  6.468127e-03   2.124282e-01   2.331961e-03
  6.599335e-03   2.039180e-01   2.191490e-03
  6.730544e-03   1.968175e-01   2.220079e-03
