Sample description: Diamond Light Source Ltd.
Sample: Diamond Light S  c= 0 mg/ml  Code: 
Parent(s): /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03363_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03368_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03369_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03370_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03371_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03374_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03375_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03376_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03379_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03380_WT_2p0_75_NaCl.dat /Users/galhirsch/Documents/PhD/Tau/Syncotrone_Data/Diamond_Feb_2026/processing/pypline/raw_dat/75_NaCl_pH_7p2/03381_WT_2p0_75_NaCl.dat  
  4.500000e-03   5.037800e-01   5.563998e-03
  4.631208e-03   4.525238e-01   5.381469e-03
  4.762417e-03   4.275953e-01   4.822743e-03
  4.893625e-03   4.035101e-01   4.507718e-03
  5.024834e-03   3.678691e-01   4.303225e-03
  5.156042e-03   3.507197e-01   3.921410e-03
  5.287251e-03   3.267934e-01   3.751045e-03
  5.418459e-03   3.069339e-01   3.587232e-03
  5.549668e-03   2.996030e-01   3.317673e-03
  5.680876e-03   2.789429e-01   3.278051e-03
  5.812085e-03   2.650473e-01   3.028562e-03
  5.943293e-03   2.562866e-01   2.935174e-03
  6.074501e-03   2.341204e-01   2.837033e-03
  6.205710e-03   2.312216e-01   2.651068e-03
  6.336918e-03   2.228375e-01   2.665870e-03
  6.468127e-03   2.116104e-01   2.524860e-03
  6.599335e-03   2.040455e-01   2.375321e-03
  6.730544e-03   1.940050e-01   2.389236e-03
  6.861752e-03   1.879827e-01   2.234446e-03
  6.992961e-03   1.851167e-01   2.216898e-03
  7.124169e-03   1.802681e-01   2.224087e-03
  7.255377e-03   1.682054e-01   2.068620e-03
  7.386586e-03   1.663288e-01   2.075703e-03
  7.517794e-03   1.632718e-01   2.019971e-03
  7.649003e-03   1.604638e-01   1.938176e-03
  7.780211e-03   1.539639e-01   1.940071e-03
  7.911420e-03   1.530948e-01   1.891225e-03
  8.042628e-03   1.498394e-01   1.854228e-03
  8.173837e-03   1.435541e-01   1.818439e-03
  8.305045e-03   1.419124e-01   1.757463e-03
  8.436253e-03   1.417206e-01   1.748065e-03
  8.567462e-03   1.353366e-01   1.726448e-03
  8.698670e-03   1.390936e-01   1.696501e-03
  8.829879e-03   1.341226e-01   1.689305e-03
  8.961087e-03   1.318667e-01   1.627893e-03
  9.092296e-03   1.315468e-01   1.619270e-03
  9.223504e-03   1.289790e-01   1.608052e-03
  9.354713e-03   1.305756e-01   1.576539e-03
  9.485921e-03   1.278682e-01   1.563653e-03
  9.617129e-03   1.245011e-01   1.535439e-03
  9.748338e-03   1.243516e-01   1.508947e-03
  9.879546e-03   1.232928e-01   1.506159e-03
  1.001075e-02   1.228261e-01   1.453842e-03
  1.014196e-02   1.200914e-01   1.470741e-03
  1.027317e-02   1.178314e-01   1.453007e-03
  1.040438e-02   1.171115e-01   1.400190e-03
  1.053559e-02   1.164745e-01   1.407455e-03
  1.066680e-02   1.121330e-01   1.361509e-03
  1.079800e-02   1.147120e-01   1.357192e-03
  1.092921e-02   1.136262e-01   1.371360e-03
  1.106042e-02   1.104765e-01   1.299785e-03
  1.119163e-02   1.113277e-01   1.302446e-03
  1.132284e-02   1.072774e-01   1.266822e-03
  1.145405e-02   1.072687e-01   1.247500e-03
  1.158526e-02   1.083961e-01   1.229180e-03
  1.171647e-02   1.077209e-01   1.220333e-03
  1.184767e-02   1.047156e-01   1.186020e-03
  1.197888e-02   1.064854e-01   1.198864e-03
  1.211009e-02   1.072624e-01   1.171006e-03
  1.224130e-02   1.032216e-01   1.142727e-03
  1.237251e-02   1.037495e-01   1.136005e-03
  1.250372e-02   1.019925e-01   1.098504e-03
  1.263492e-02   1.013324e-01   1.078224e-03
  1.276613e-02   1.026787e-01   1.057150e-03
  1.289734e-02   9.982798e-02   1.035382e-03
  1.302855e-02   9.955132e-02   1.042964e-03
  1.315976e-02   1.004146e-01   1.026578e-03
  1.329097e-02   9.826233e-02   1.009746e-03
  1.342217e-02   9.867753e-02   1.008981e-03
  1.355338e-02   9.671083e-02   9.939385e-04
  1.368459e-02   9.891481e-02   9.915443e-04
  1.381580e-02   9.560560e-02   9.752322e-04
  1.394701e-02   9.692500e-02   9.743116e-04
  1.407822e-02   9.506241e-02   9.678108e-04
  1.420942e-02   9.507429e-02   9.517817e-04
  1.434063e-02   9.386640e-02   9.459886e-04
  1.447184e-02   9.173562e-02   9.309511e-04
  1.460305e-02   9.153303e-02   9.226829e-04
  1.473426e-02   9.031479e-02   9.212164e-04
  1.486547e-02   8.986371e-02   9.071436e-04
  1.499668e-02   9.250025e-02   9.111175e-04
  1.512788e-02   9.101996e-02   9.039789e-04
  1.525909e-02   9.029663e-02   8.909847e-04
  1.539030e-02   8.961737e-02   8.888370e-04
  1.552151e-02   8.848283e-02   8.805760e-04
  1.565272e-02   8.829619e-02   8.742842e-04
  1.578393e-02   8.856535e-02   8.722711e-04
  1.591514e-02   8.690102e-02   8.527519e-04
  1.604634e-02   8.708247e-02   8.543204e-04
  1.617755e-02   8.526395e-02   8.524829e-04
  1.630876e-02   8.526218e-02   8.417119e-04
  1.643997e-02   8.628970e-02   8.375549e-04
  1.657118e-02   8.556949e-02   8.391126e-04
  1.670239e-02   8.458663e-02   8.128466e-04
  1.683359e-02   8.520089e-02   8.123510e-04
  1.696480e-02   8.551270e-02   8.055390e-04
  1.709601e-02   8.305361e-02   7.944816e-04
  1.722722e-02   8.376595e-02   7.991192e-04
  1.735843e-02   8.485822e-02   7.887478e-04
  1.748964e-02   8.456860e-02   7.880629e-04
  1.762084e-02   8.212773e-02   7.887895e-04
  1.775205e-02   8.068791e-02   7.606311e-04
  1.788326e-02   8.055125e-02   7.731020e-04
  1.801447e-02   8.031973e-02   7.624781e-04
  1.814568e-02   7.989340e-02   7.534168e-04
  1.827689e-02   8.026820e-02   7.633410e-04
  1.840809e-02   7.989852e-02   7.488764e-04
  1.853930e-02   8.022659e-02   7.473236e-04
  1.867051e-02   7.969292e-02   7.501191e-04
  1.880172e-02   7.871251e-02   7.333137e-04
  1.893293e-02   7.693348e-02   7.355398e-04
  1.906414e-02   7.834349e-02   7.189395e-04
  1.919535e-02   7.700317e-02   7.142121e-04
  1.932655e-02   7.797749e-02   7.175777e-04
  1.945776e-02   7.680592e-02   7.073638e-04
  1.958897e-02   7.623204e-02   7.039520e-04
  1.972018e-02   7.636841e-02   7.084901e-04
  1.985139e-02   7.614413e-02   6.921245e-04
  1.998260e-02   7.587214e-02   7.011189e-04
  2.011380e-02   7.528003e-02   6.895619e-04
  2.024501e-02   7.469177e-02   6.858240e-04
  2.037622e-02   7.561637e-02   6.941414e-04
  2.050743e-02   7.427651e-02   6.799007e-04
  2.063864e-02   7.471579e-02   6.826233e-04
  2.076985e-02   7.355957e-02   6.830677e-04
  2.090106e-02   7.320734e-02   6.634301e-04
  2.103226e-02   7.344983e-02   6.751140e-04
  2.116347e-02   7.233705e-02   6.652720e-04
  2.129468e-02   7.315592e-02   6.658050e-04
  2.142589e-02   7.140539e-02   6.626136e-04
  2.155710e-02   7.062586e-02   6.498098e-04
  2.168831e-02   7.000427e-02   6.498557e-04
  2.181952e-02   7.150687e-02   6.550293e-04
  2.195072e-02   7.015183e-02   6.379743e-04
  2.208193e-02   7.015101e-02   6.473206e-04
  2.221314e-02   6.947122e-02   6.414820e-04
  2.234435e-02   6.974342e-02   6.375651e-04
  2.247556e-02   6.964940e-02   6.407611e-04
  2.260677e-02   6.825084e-02   6.267497e-04
  2.273797e-02   6.865957e-02   6.274331e-04
  2.286918e-02   6.801784e-02   6.312667e-04
  2.300039e-02   6.808825e-02   6.208804e-04
  2.313160e-02   6.899755e-02   6.256634e-04
  2.326281e-02   6.755831e-02   6.163825e-04
