# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472156_ascii/b21-472156_00017.dat
q(1/A)          Column          Error           
0.0045000000    0.4246145300    0.0169710100    
0.0046312084    0.3670142100    0.0160946380    
0.0047624169    0.3169756800    0.0138076530    
0.0048936253    0.3444888200    0.0138461570    
0.0050248338    0.2967049000    0.0128516930    
0.0051560422    0.2543743600    0.0111123150    
0.0052872507    0.2407280100    0.0107121730    
0.0054184591    0.2223197300    0.0101894580    
0.0055496676    0.2145841100    0.0093735496    
0.0056808760    0.2114636100    0.0095138909    
0.0058120845    0.1707925400    0.0081409165    
0.0059432929    0.1733557300    0.0080390144    
0.0060745014    0.1612285700    0.0078936348    
0.0062057098    0.1436296800    0.0070387907    
0.0063369183    0.1286445300    0.0067970301    
0.0064681267    0.1269362600    0.0066360095    
0.0065993352    0.1187298400    0.0061034280    
0.0067305436    0.1247692500    0.0065201600    
0.0068617521    0.1172250700    0.0059606739    
0.0069929605    0.1128726600    0.0058753141    
0.0071241689    0.1068593300    0.0058281822    
0.0072553774    0.0939010770    0.0053366295    
0.0073865858    0.0914713380    0.0053417251    
0.0075177943    0.0799756690    0.0050011387    
0.0076490027    0.0853498490    0.0049073259    
0.0077802112    0.0816575470    0.0050023101    
0.0079114196    0.0818930730    0.0048703238    
0.0080426281    0.0808306310    0.0047385549    
0.0081738365    0.0696387020    0.0046061672    
0.0083050450    0.0761185420    0.0045294232    
0.0084362534    0.0683174420    0.0043558879    
0.0085674619    0.0675905200    0.0044086881    
0.0086986703    0.0686756340    0.0043038768    
0.0088298788    0.0652292890    0.0043093396    
0.0089610872    0.0657699150    0.0041343450    
0.0090922957    0.0643309090    0.0041441889    
0.0092235041    0.0618614670    0.0041395981    
0.0093547126    0.0621871340    0.0040133905    
0.0094859210    0.0544820860    0.0038591021    
0.0096171294    0.0578537420    0.0039055739    
0.0097483379    0.0522290770    0.0037537428    
0.0098795463    0.0457495340    0.0036628604    
0.0100107550    0.0511295260    0.0035911470    
0.0101419630    0.0524197080    0.0036962031    
0.0102731720    0.0537429820    0.0037418968    
0.0104043800    0.0513468520    0.0035553622    
0.0105355890    0.0486394760    0.0034987378    
0.0106667970    0.0497998490    0.0034833623    
0.0107980050    0.0513839840    0.0034557501    
0.0109292140    0.0440737420    0.0033958273    
0.0110604220    0.0494971400    0.0033324498    
0.0111916310    0.0479034050    0.0032950756    
0.0113228390    0.0500464250    0.0033183113    
0.0114540480    0.0454166440    0.0031899603    
0.0115852560    0.0433545560    0.0030621069    
0.0117164650    0.0444380630    0.0030674226    
0.0118476730    0.0398664050    0.0029759903    
0.0119788820    0.0442477620    0.0030613866    
0.0121100900    0.0411704410    0.0029312288    
0.0122412980    0.0429352610    0.0029357851    
0.0123725070    0.0394620470    0.0028663001    
0.0125037150    0.0402980430    0.0027842409    
0.0126349240    0.0421623410    0.0027901092    
0.0127661320    0.0392565020    0.0026551389    
0.0128973410    0.0390890870    0.0026501076    
0.0130285490    0.0392279470    0.0026899164    
0.0131597580    0.0389560880    0.0026256026    
