# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472146_ascii/b21-472146_00001.dat
q(1/A)          Column          Error           
0.0045000000    0.4201084400    0.0168177970    
0.0046312084    0.3881017500    0.0164888630    
0.0047624169    0.3378558000    0.0142011170    
0.0048936253    0.2972545500    0.0128155310    
0.0050248338    0.2762978400    0.0123440770    
0.0051560422    0.2731216600    0.0114599130    
0.0052872507    0.2332814300    0.0105169460    
0.0054184591    0.2302994800    0.0102890010    
0.0055496676    0.1985203100    0.0089859291    
0.0056808760    0.1993534500    0.0091856398    
0.0058120845    0.1717920400    0.0080803393    
0.0059432929    0.1665508500    0.0078597141    
0.0060745014    0.1498861800    0.0075599028    
0.0062057098    0.1462163300    0.0070571847    
0.0063369183    0.1447354400    0.0071810238    
0.0064681267    0.1259917200    0.0065126672    
0.0065993352    0.1299022600    0.0064219566    
0.0067305436    0.1238408300    0.0064160232    
0.0068617521    0.1128967700    0.0058670458    
0.0069929605    0.1039687100    0.0056436630    
0.0071241689    0.0974241210    0.0056292800    
0.0072553774    0.0923751120    0.0052753431    
0.0073865858    0.0935928740    0.0053315146    
0.0075177943    0.0891006330    0.0051158061    
0.0076490027    0.0882550720    0.0049811556    
0.0077802112    0.0910495930    0.0051094316    
0.0079114196    0.0832969190    0.0048536943    
0.0080426281    0.0787480100    0.0047548395    
0.0081738365    0.0671456430    0.0045182612    
0.0083050450    0.0729949890    0.0044534485    
0.0084362534    0.0685033780    0.0043543357    
0.0085674619    0.0619269910    0.0043252928    
0.0086986703    0.0608848970    0.0041328920    
0.0088298788    0.0676868180    0.0043011690    
0.0089610872    0.0601604760    0.0039911328    
0.0090922957    0.0541584820    0.0038914419    
0.0092235041    0.0662877480    0.0040977942    
0.0093547126    0.0584969750    0.0039217627    
0.0094859210    0.0632249920    0.0039889515    
0.0096171294    0.0580214060    0.0039122412    
0.0097483379    0.0530010430    0.0037458423    
0.0098795463    0.0543739960    0.0037487623    
0.0100107550    0.0549326820    0.0036105384    
0.0101419630    0.0533540400    0.0036881621    
0.0102731720    0.0531552490    0.0036517885    
0.0104043800    0.0479874520    0.0034364299    
0.0105355890    0.0550470910    0.0036159674    
0.0106667970    0.0490848300    0.0034745585    
0.0107980050    0.0499950200    0.0034300356    
0.0109292140    0.0513237970    0.0035000765    
0.0110604220    0.0460981530    0.0032572697    
0.0111916310    0.0499322500    0.0033166231    
0.0113228390    0.0453410890    0.0032275201    
0.0114540480    0.0410216130    0.0031375693    
0.0115852560    0.0457755990    0.0031205649    
0.0117164650    0.0439641900    0.0030613910    
0.0118476730    0.0432923460    0.0030080493    
0.0119788820    0.0376642930    0.0029482668    
0.0121100900    0.0453604610    0.0029748057    
0.0122412980    0.0393676230    0.0028524634    
0.0123725070    0.0427524440    0.0028991665    
0.0125037150    0.0399981820    0.0027635231    
0.0126349240    0.0367938600    0.0026831804    
0.0127661320    0.0400840580    0.0026871994    
0.0128973410    0.0347430400    0.0025935975    
0.0130285490    0.0389360490    0.0026489598    
0.0131597580    0.0374880180    0.0025728374    
0.0132909660    0.0384589670    0.0026045060    
0.0134221740    0.0371191220    0.0025433195    
0.0135533830    0.0377961290    0.0025567983    
0.0136845910    0.0390829510    0.0025373470    
0.0138158000    0.0399082410    0.0025007755    
0.0139470080    0.0355846650    0.0025017168    
0.0140782170    0.0371425120    0.0024946771    
0.0142094250    0.0351364230    0.0024115215    
0.0143406340    0.0373712500    0.0024411550    
0.0144718420    0.0378398820    0.0024303104    
0.0146030500    0.0340030040    0.0023576489    
0.0147342590    0.0372165260    0.0024228892    
0.0148654670    0.0364972760    0.0023412362    
0.0149966760    0.0352804530    0.0023589919    
0.0151278840    0.0370162160    0.0023719810    
0.0152590930    0.0332446990    0.0023058031    
0.0153903010    0.0355529030    0.0023234609    
0.0155215100    0.0370539180    0.0023225726    
0.0156527180    0.0333628270    0.0022778302    
0.0157839260    0.0342762570    0.0022735376    
0.0159151350    0.0337336710    0.0022354354    
0.0160463430    0.0353046070    0.0022567406    
0.0161775520    0.0338091720    0.0022523983    
0.0163087600    0.0315126370    0.0021997117    
