# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472157_ascii/b21-472157_00010.dat
q(1/A)          Column          Error           
0.0045000000    0.4641870600    0.0178007420    
0.0046312084    0.3929295700    0.0167090380    
0.0047624169    0.3764454200    0.0150698780    
0.0048936253    0.3411536800    0.0138016000    
0.0050248338    0.3098859200    0.0131539250    
0.0051560422    0.2862386500    0.0117942580    
0.0052872507    0.2867599800    0.0116971840    
0.0054184591    0.2443116000    0.0106929190    
0.0055496676    0.2660877200    0.0104207510    
0.0056808760    0.2210352200    0.0097398120    
0.0058120845    0.2087914800    0.0089518459    
0.0059432929    0.1928179700    0.0085127249    
0.0060745014    0.1829375600    0.0083930978    
0.0062057098    0.1752871300    0.0077235618    
0.0063369183    0.1655573700    0.0077334662    
0.0064681267    0.1577878200    0.0072702213    
0.0065993352    0.1437240500    0.0067409088    
0.0067305436    0.1363967700    0.0067416461    
0.0068617521    0.1335457300    0.0063549383    
0.0069929605    0.1291719700    0.0062876888    
0.0071241689    0.1230688100    0.0062621935    
0.0072553774    0.1122290600    0.0057418185    
0.0073865858    0.1114956600    0.0057585618    
0.0075177943    0.0951294960    0.0053077032    
0.0076490027    0.1013861300    0.0052469629    
0.0077802112    0.1049704900    0.0054665341    
0.0079114196    0.1003844100    0.0052214930    
0.0080426281    0.0912243700    0.0049985956    
0.0081738365    0.0909744460    0.0050173057    
0.0083050450    0.0899074880    0.0048520690    
0.0084362534    0.0857571750    0.0047501825    
0.0085674619    0.0881087560    0.0048205186    
0.0086986703    0.0924634180    0.0047849339    
0.0088298788    0.0818220270    0.0046124272    
0.0089610872    0.0760280620    0.0043894114    
0.0090922957    0.0757409620    0.0043253711    
0.0092235041    0.0817393860    0.0044448971    
0.0093547126    0.0774004930    0.0042496040    
0.0094859210    0.0817124070    0.0043272166    
0.0096171294    0.0783242220    0.0042917418    
0.0097483379    0.0736361040    0.0041266196    
0.0098795463    0.0676784300    0.0040292497    
0.0100107550    0.0697962640    0.0039325603    
0.0101419630    0.0710658920    0.0040088920    
0.0102731720    0.0659869870    0.0039157211    
0.0104043800    0.0695076010    0.0038236023    
0.0105355890    0.0688982770    0.0038809272    
0.0106667970    0.0636450160    0.0037560427    
0.0107980050    0.0628465310    0.0036627398    
0.0109292140    0.0646912480    0.0037479398    
0.0110604220    0.0634669080    0.0035307644    
0.0111916310    0.0608572600    0.0034754701    
0.0113228390    0.0636091320    0.0034822256    
0.0114540480    0.0587227650    0.0034085608    
0.0115852560    0.0596491200    0.0033370502    
0.0117164650    0.0636494020    0.0033566975    
0.0118476730    0.0548583990    0.0031861736    
0.0119788820    0.0599431050    0.0032969762    
0.0121100900    0.0559665750    0.0031314545    
0.0122412980    0.0576155590    0.0031542752    
0.0123725070    0.0558548460    0.0030557722    
0.0125037150    0.0555440080    0.0030042773    
0.0126349240    0.0549847290    0.0029610479    
0.0127661320    0.0555461350    0.0028923328    
0.0128973410    0.0606966870    0.0029252977    
0.0130285490    0.0540622570    0.0028781242    
0.0131597580    0.0512925970    0.0027880097    
0.0132909660    0.0526988090    0.0027960969    
0.0134221740    0.0486528500    0.0027225820    
0.0135533830    0.0553083900    0.0027800016    
0.0136845910    0.0508453020    0.0026888302    
0.0138158000    0.0489323040    0.0026628263    
0.0139470080    0.0525858410    0.0026399189    
0.0140782170    0.0495696320    0.0026697054    
0.0142094250    0.0477229260    0.0025697103    
0.0143406340    0.0501571290    0.0026140292    
0.0144718420    0.0472178060    0.0025502456    
0.0146030500    0.0528617590    0.0026117553    
0.0147342590    0.0503974950    0.0025905535    
