# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472156_ascii/b21-472156_00001.dat
q(1/A)          Column          Error           
0.0045000000    0.4517410200    0.0175046090    
0.0046312084    0.3726561100    0.0162177760    
0.0047624169    0.3463878300    0.0144328040    
0.0048936253    0.3139255600    0.0132069470    
0.0050248338    0.2800327200    0.0124736490    
0.0051560422    0.2582400600    0.0111960480    
0.0052872507    0.2554440100    0.0110129730    
0.0054184591    0.2264768400    0.0102416150    
0.0055496676    0.2101279500    0.0092413482    
0.0056808760    0.1965993500    0.0092251215    
0.0058120845    0.1723154000    0.0081497401    
0.0059432929    0.1577962700    0.0077521861    
0.0060745014    0.1468449100    0.0075218684    
0.0062057098    0.1540066700    0.0072505027    
0.0063369183    0.1426640200    0.0071921891    
0.0064681267    0.1275958500    0.0065697343    
0.0065993352    0.1272307100    0.0063622420    
0.0067305436    0.1199317900    0.0063586685    
0.0068617521    0.1120008300    0.0058680739    
0.0069929605    0.1146122500    0.0059251858    
0.0071241689    0.1134616300    0.0059807064    
0.0072553774    0.1011230200    0.0054722322    
0.0073865858    0.0979634970    0.0054815765    
0.0075177943    0.0935758490    0.0052676992    
0.0076490027    0.0878965490    0.0049925031    
0.0077802112    0.0752937170    0.0048306930    
0.0079114196    0.0826526980    0.0048900230    
0.0080426281    0.0833167260    0.0048926356    
0.0081738365    0.0766016520    0.0046859926    
0.0083050450    0.0728387150    0.0044003704    
0.0084362534    0.0746120100    0.0045271974    
0.0085674619    0.0649901040    0.0043190454    
0.0086986703    0.0646743350    0.0041815820    
0.0088298788    0.0627197170    0.0042362438    
0.0089610872    0.0711424200    0.0042554322    
0.0090922957    0.0692132820    0.0042515181    
0.0092235041    0.0629309790    0.0041173522    
0.0093547126    0.0589348110    0.0038932019    
0.0094859210    0.0530477100    0.0038372530    
0.0096171294    0.0536345950    0.0038430346    
0.0097483379    0.0629469740    0.0039364290    
0.0098795463    0.0579225330    0.0038476109    
0.0100107550    0.0494795920    0.0035487711    
0.0101419630    0.0495598560    0.0036116355    
0.0102731720    0.0505253660    0.0036644925    
0.0104043800    0.0497582070    0.0035289509    
0.0105355890    0.0448698260    0.0035216383    
0.0106667970    0.0461554030    0.0034090594    
0.0107980050    0.0490170270    0.0034349783    
0.0109292140    0.0491051940    0.0034789968    
0.0110604220    0.0461217810    0.0032539892    
0.0111916310    0.0466211490    0.0032715835    
0.0113228390    0.0456804570    0.0032291741    
0.0114540480    0.0396633930    0.0031062015    
0.0115852560    0.0440814520    0.0030655242    
0.0117164650    0.0425619190    0.0030707771    
0.0118476730    0.0419495110    0.0030178035    
0.0119788820    0.0443872540    0.0030613499    
0.0121100900    0.0405037670    0.0029493062    
0.0122412980    0.0435892380    0.0029444915    
0.0123725070    0.0426855580    0.0029037348    
0.0125037150    0.0432194360    0.0028264749    
0.0126349240    0.0416881060    0.0027950984    
0.0127661320    0.0412865160    0.0027166966    
0.0128973410    0.0379844190    0.0026454709    
0.0130285490    0.0409086530    0.0026852101    
0.0131597580    0.0383081590    0.0025853472    
0.0132909660    0.0314220810    0.0024986080    
0.0134221740    0.0411048620    0.0026079411    
0.0135533830    0.0378709420    0.0025378340    
0.0136845910    0.0415176670    0.0025766111    
0.0138158000    0.0373783160    0.0025235406    
0.0139470080    0.0388469130    0.0025085433    
0.0140782170    0.0356195270    0.0024913457    
0.0142094250    0.0382042830    0.0024715622    
0.0143406340    0.0390990790    0.0024594265    
0.0144718420    0.0380277960    0.0024280108    
0.0146030500    0.0374398990    0.0024227694    
0.0147342590    0.0352283770    0.0024042040    
0.0148654670    0.0349410740    0.0023852140    
0.0149966760    0.0333683240    0.0023540545    
0.0151278840    0.0308665200    0.0023183832    
0.0152590930    0.0338470220    0.0023011055    
0.0153903010    0.0359954560    0.0023391883    
0.0155215100    0.0353157210    0.0023201819    
0.0156527180    0.0329230520    0.0022948793    
0.0157839260    0.0346187100    0.0022937738    
0.0159151350    0.0328199680    0.0022459968    
0.0160463430    0.0372348420    0.0022812486    
0.0161775520    0.0354078940    0.0022739279    
0.0163087600    0.0335580020    0.0022374420    
0.0164399690    0.0335295750    0.0022175972    
0.0165711770    0.0344401210    0.0022304089    
0.0167023860    0.0366679900    0.0021991708    
0.0168335940    0.0332643060    0.0021615366    
0.0169648030    0.0367702700    0.0021645240    
0.0170960110    0.0338257850    0.0021426182    
0.0172272190    0.0328681290    0.0021264670    
0.0173584280    0.0322355380    0.0020857016    
0.0174896360    0.0306844340    0.0020784967    
0.0176208450    0.0307315330    0.0020959882    
0.0177520530    0.0319525840    0.0020563538    
0.0178832620    0.0327329560    0.0020899941    
0.0180144700    0.0325026360    0.0020526771    
0.0181456790    0.0312961400    0.0020255129    
0.0182768870    0.0321137000    0.0020589402    
0.0184080950    0.0324132310    0.0020268996    
0.0185393040    0.0330828080    0.0020239744    
0.0186705120    0.0346144480    0.0020504667    
0.0188017210    0.0338728580    0.0019994895    
0.0189329290    0.0323321870    0.0020087030    
0.0190641380    0.0309174890    0.0019462825    
0.0191953460    0.0313500540    0.0019487996    
0.0193265550    0.0322777420    0.0019563367    
0.0194577630    0.0336960990    0.0019414381    
0.0195889710    0.0308287340    0.0019118821    
0.0197201800    0.0332936180    0.0019447063    
0.0198513880    0.0299222290    0.0018867354    
0.0199825970    0.0314982890    0.0019253375    
0.0201138050    0.0310972660    0.0018917645    
0.0202450140    0.0316107310    0.0018864842    
0.0203762220    0.0309617500    0.0019035451    
0.0205074310    0.0294082370    0.0018729145    
0.0206386390    0.0327168350    0.0018854548    
0.0207698470    0.0308139480    0.0018876972    
0.0209010560    0.0300472690    0.0018353477    
0.0210322640    0.0301949290    0.0018653238    
0.0211634730    0.0309823800    0.0018433058    
0.0212946810    0.0329628620    0.0018546917    
0.0214258900    0.0304286250    0.0018478491    
0.0215570980    0.0309711380    0.0018257302    
0.0216883070    0.0299008910    0.0018077158    
0.0218195150    0.0306073910    0.0018206697    
0.0219507240    0.0303508130    0.0017905701    
0.0220819320    0.0302088080    0.0018148765    
0.0222131400    0.0323297390    0.0018196594    
0.0223443490    0.0289260920    0.0017760153    
0.0224755570    0.0307487020    0.0018081899    
0.0226067660    0.0295736560    0.0017673640    
0.0227379740    0.0298527780    0.0017651631    
0.0228691830    0.0303595720    0.0017756547    
0.0230003910    0.0300161950    0.0017694835    
0.0231316000    0.0303670460    0.0017555078    
0.0232628080    0.0306082880    0.0017604014    
0.0233940160    0.0286103100    0.0017457636    
0.0235252250    0.0287699200    0.0017507298    
0.0236564330    0.0308627540    0.0017292479    
0.0237876420    0.0289548310    0.0017209266    
0.0239188500    0.0321450370    0.0017450688    
0.0240500590    0.0292897630    0.0016945644    
0.0241812670    0.0300607630    0.0017253272    
0.0243124760    0.0287675070    0.0017029639    
0.0244436840    0.0301418160    0.0017124231    
0.0245748920    0.0310606380    0.0017247157    
0.0247061010    0.0305602520    0.0017053426    
0.0248373090    0.0290855340    0.0016743497    
0.0249685180    0.0301845170    0.0016985257    
0.0250997260    0.0292579180    0.0016657643    
0.0252309350    0.0295230590    0.0016829150    
0.0253621430    0.0291744740    0.0016731624    
0.0254933520    0.0268179870    0.0016449745    
0.0256245600    0.0271593130    0.0016591306    
0.0257557680    0.0288841270    0.0016408975    
0.0258869770    0.0286913900    0.0016577468    
0.0260181850    0.0281666140    0.0016507194    
0.0261493940    0.0302667890    0.0016373669    
0.0262806020    0.0282680760    0.0016391401    
0.0264118110    0.0293536250    0.0016414176    
0.0265430190    0.0304002670    0.0016347249    
0.0266742280    0.0280256100    0.0016258101    
0.0268054360    0.0301869140    0.0016196629    
0.0269366450    0.0284807400    0.0016113979    
0.0270678530    0.0285171740    0.0016169622    
0.0271990610    0.0274573490    0.0015794111    
0.0273302700    0.0305402990    0.0016093351    
0.0274614780    0.0279630690    0.0015871793    
0.0275926870    0.0290597710    0.0016018163    
0.0277238950    0.0287831720    0.0015982819    
0.0278551040    0.0308075030    0.0015870668    
0.0279863120    0.0280579680    0.0015783968    
0.0281175210    0.0295229790    0.0015825830    
0.0282487290    0.0288105760    0.0015726324    
0.0283799370    0.0307677440    0.0015834763    
0.0285111460    0.0288770120    0.0015681468    
0.0286423540    0.0290576800    0.0015471318    
0.0287735630    0.0262828170    0.0015534573    
0.0289047710    0.0269124400    0.0015466612    
0.0290359800    0.0280760870    0.0015607875    
0.0291671880    0.0271382070    0.0015429955    
0.0292983970    0.0294422850    0.0015447696    
0.0294296050    0.0306996620    0.0015503201    
0.0295608130    0.0300060800    0.0015354175    
0.0296920220    0.0291057950    0.0015392180    
0.0298232300    0.0293640670    0.0015529290    
0.0299544390    0.0273921920    0.0015231020    
0.0300856470    0.0293543180    0.0015338478    
0.0302168560    0.0303689710    0.0015351633    
0.0303480640    0.0292580670    0.0015168267    
0.0304792730    0.0289382060    0.0015262355    
0.0306104810    0.0281597700    0.0015134890    
0.0307416890    0.0298456920    0.0015112753    
0.0308728980    0.0293303460    0.0015247249    
0.0310041060    0.0283447840    0.0014898323    
0.0311353150    0.0299903820    0.0015099785    
0.0312665230    0.0274708670    0.0015139521    
0.0313977320    0.0284891090    0.0015187915    
0.0315289400    0.0281453080    0.0015247605    
0.0316601490    0.0291721080    0.0015264149    
0.0317913570    0.0291138000    0.0015316178    
0.0319225660    0.0281459880    0.0015455519    
0.0320537740    0.0295943940    0.0015359382    
0.0321849820    0.0259935950    0.0015321555    
0.0323161910    0.0287691210    0.0015376217    
0.0324473990    0.0290390030    0.0015346407    
0.0325786080    0.0288096580    0.0015445476    
0.0327098160    0.0293136840    0.0015417567    
0.0328410250    0.0305925520    0.0015466731    
0.0329722330    0.0284780000    0.0015539758    
0.0331034420    0.0283660740    0.0015311209    
0.0332346500    0.0301343870    0.0015482262    
0.0333658580    0.0300080680    0.0015558231    
0.0334970670    0.0286501970    0.0015396364    
0.0336282750    0.0284929450    0.0015386591    
0.0337594840    0.0258933260    0.0015225103    
0.0338906920    0.0285841580    0.0015303058    
0.0340219010    0.0288209790    0.0015470644    
0.0341531090    0.0274099800    0.0015290499    
0.0342843180    0.0292861700    0.0015477029    
0.0344155260    0.0282424970    0.0015392299    
0.0345467340    0.0279390560    0.0015321598    
0.0346779430    0.0296964940    0.0015464613    
0.0348091510    0.0292170250    0.0015334731    
0.0349403600    0.0308963200    0.0015482591    
0.0350715680    0.0271582070    0.0015396356    
0.0352027770    0.0296880750    0.0015315545    
0.0353339850    0.0299029580    0.0015317788    
0.0354651940    0.0311058180    0.0015446964    
0.0355964020    0.0281545940    0.0015228732    
0.0357276100    0.0284560830    0.0015528497    
0.0358588190    0.0282882640    0.0015214716    
0.0359900270    0.0280847700    0.0015117596    
0.0361212360    0.0293147240    0.0015385538    
0.0362524440    0.0267023820    0.0014849021    
0.0363836530    0.0279725740    0.0014859802    
0.0365148610    0.0286558720    0.0014855395    
0.0366460700    0.0303239270    0.0014775840    
0.0367772780    0.0282590000    0.0014710651    
0.0369084870    0.0292277290    0.0014562444    
0.0370396950    0.0281629190    0.0014440502    
0.0371709030    0.0286344770    0.0014611300    
0.0373021120    0.0279200980    0.0014391554    
0.0374333200    0.0297150740    0.0014421916    
0.0375645290    0.0269976710    0.0014339645    
0.0376957370    0.0296203650    0.0014259350    
0.0378269460    0.0284223030    0.0014448667    
0.0379581540    0.0297974910    0.0014143559    
0.0380893630    0.0302479430    0.0014256048    
0.0382205710    0.0287167140    0.0014162003    
0.0383517790    0.0291665590    0.0014218933    
0.0384829880    0.0301856250    0.0014383722    
0.0386141960    0.0299486000    0.0014617643    
0.0387454050    0.0277727690    0.0014305070    
0.0388766130    0.0291006210    0.0014437927    
0.0390078220    0.0302995500    0.0014384547    
0.0391390300    0.0289198510    0.0014316608    
0.0392702390    0.0300487830    0.0014515333    
0.0394014470    0.0289553000    0.0014260490    
0.0395326550    0.0290522150    0.0014367892    
0.0396638640    0.0296418350    0.0014344440    
0.0397950720    0.0290134190    0.0014296626    
0.0399262810    0.0269376810    0.0014283587    
0.0400574890    0.0280055090    0.0014147207    
0.0401886980    0.0291879970    0.0014327455    
0.0403199060    0.0286463010    0.0014342276    
0.0404511150    0.0273559130    0.0014142646    
0.0405823230    0.0287358400    0.0014246019    
0.0407135310    0.0287584720    0.0014282947    
0.0408447400    0.0277542500    0.0014133326    
0.0409759480    0.0295204930    0.0014481295    
0.0411071570    0.0280140290    0.0014202353    
0.0412383650    0.0277966190    0.0014227139    
0.0413695740    0.0278841770    0.0014117089    
0.0415007820    0.0258939180    0.0014033182    
0.0416319910    0.0275932780    0.0014163952    
0.0417631990    0.0280316470    0.0014221110    
0.0418944080    0.0267626340    0.0014055332    
0.0420256160    0.0282557720    0.0014309450    
0.0421568240    0.0287070990    0.0014114750    
0.0422880330    0.0284432130    0.0014129032    
0.0424192410    0.0298416540    0.0014270832    
0.0425504500    0.0284036320    0.0014105997    
0.0426816580    0.0284680670    0.0014154682    
0.0428128670    0.0302717170    0.0014251765    
0.0429440750    0.0292884120    0.0014085887    
0.0430752840    0.0287050770    0.0014152742    
0.0432064920    0.0289287830    0.0014080418    
0.0433377000    0.0286079070    0.0014182816    
0.0434689090    0.0287239700    0.0014224290    
0.0436001170    0.0289360060    0.0013989602    
0.0437313260    0.0282780830    0.0014084758    
0.0438625340    0.0279041450    0.0014046318    
0.0439937430    0.0295280670    0.0014100114    
0.0441249510    0.0264219160    0.0014033003    
0.0442561600    0.0298467210    0.0014060562    
0.0443873680    0.0285327860    0.0014058535    
0.0445185760    0.0289283840    0.0013998488    
