# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472144_ascii/b21-472144_00012.dat
q(1/A)          Column          Error           
0.0045000000    0.4051695600    0.0165963920    
0.0046312084    0.3635906400    0.0160372960    
0.0047624169    0.3249045700    0.0140075350    
0.0048936253    0.3274393000    0.0135033690    
0.0050248338    0.2667405300    0.0122131030    
0.0051560422    0.2462188700    0.0109456790    
0.0052872507    0.2312730200    0.0105123210    
0.0054184591    0.2214271500    0.0101490080    
0.0055496676    0.2008616000    0.0090462777    
0.0056808760    0.1710812400    0.0085645363    
0.0058120845    0.1627685600    0.0079231000    
0.0059432929    0.1726296300    0.0080826088    
0.0060745014    0.1687961200    0.0080465311    
0.0062057098    0.1459641500    0.0070863790    
0.0063369183    0.1278782500    0.0068122288    
0.0064681267    0.1232444700    0.0065343036    
0.0065993352    0.1183866600    0.0061397456    
0.0067305436    0.1143852200    0.0062237707    
0.0068617521    0.1081812800    0.0057797322    
0.0069929605    0.1049823800    0.0057356679    
0.0071241689    0.0944630860    0.0055553275    
0.0072553774    0.0966169630    0.0054276984    
0.0073865858    0.0905440740    0.0053611416    
0.0075177943    0.0954220250    0.0053355595    
0.0076490027    0.0906476050    0.0050297204    
0.0077802112    0.0823715690    0.0050064493    
0.0079114196    0.0714037470    0.0046369968    
0.0080426281    0.0767738560    0.0046965269    
0.0081738365    0.0678002930    0.0045006109    
0.0083050450    0.0722982610    0.0044907376    
0.0084362534    0.0759481800    0.0045373751    
0.0085674619    0.0651362100    0.0043802898    
0.0086986703    0.0610330110    0.0041493395    
0.0088298788    0.0605748740    0.0042024736    
0.0089610872    0.0592391180    0.0039720559    
0.0090922957    0.0568143910    0.0039695083    
0.0092235041    0.0592108760    0.0040020456    
0.0093547126    0.0588636230    0.0039337211    
0.0094859210    0.0591200260    0.0039056778    
0.0096171294    0.0583857680    0.0039143071    
0.0097483379    0.0554709910    0.0037773166    
0.0098795463    0.0629724750    0.0039160513    
0.0100107550    0.0466521130    0.0035329579    
0.0101419630    0.0544473560    0.0037241206    
0.0102731720    0.0523458840    0.0037116998    
0.0104043800    0.0542911750    0.0036025906    
0.0105355890    0.0428121050    0.0034272276    
0.0106667970    0.0474765130    0.0034563261    
0.0107980050    0.0479413940    0.0034468659    
0.0109292140    0.0539110690    0.0035384773    
0.0110604220    0.0441316320    0.0032771747    
0.0111916310    0.0515430680    0.0033604875    
0.0113228390    0.0489082820    0.0033036332    
0.0114540480    0.0421801980    0.0031608849    
0.0115852560    0.0469509500    0.0031340758    
0.0117164650    0.0422237970    0.0030742816    
0.0118476730    0.0430183440    0.0030373769    
0.0119788820    0.0421013010    0.0030327227    
0.0121100900    0.0433990710    0.0029769756    
0.0122412980    0.0406697960    0.0028922007    
0.0123725070    0.0425230210    0.0029159972    
0.0125037150    0.0366055760    0.0027636604    
0.0126349240    0.0408322380    0.0027583008    
0.0127661320    0.0412662740    0.0027133988    
0.0128973410    0.0395084970    0.0026328766    
0.0130285490    0.0389786730    0.0026889014    
0.0131597580    0.0412062560    0.0026491942    
0.0132909660    0.0371316210    0.0025886858    
0.0134221740    0.0427899490    0.0026224163    
0.0135533830    0.0399373040    0.0026006096    
0.0136845910    0.0371125170    0.0025395477    
0.0138158000    0.0359436030    0.0025088659    
0.0139470080    0.0395347740    0.0025241242    
0.0140782170    0.0401119150    0.0025703726    
0.0142094250    0.0406166620    0.0024884729    
0.0143406340    0.0363809970    0.0024744326    
0.0144718420    0.0344834510    0.0024203102    
0.0146030500    0.0352726250    0.0024045434    
0.0147342590    0.0337930410    0.0023871934    
0.0148654670    0.0341028820    0.0023835347    
0.0149966760    0.0328980680    0.0023488217    
0.0151278840    0.0351998060    0.0023709309    
0.0152590930    0.0382631470    0.0023417230    
0.0153903010    0.0357226880    0.0023511075    
0.0155215100    0.0365368930    0.0023501457    
0.0156527180    0.0330834470    0.0022853935    
0.0157839260    0.0345243450    0.0023053701    
0.0159151350    0.0353983510    0.0022787428    
0.0160463430    0.0358992770    0.0023045956    
0.0161775520    0.0349817350    0.0022883739    
0.0163087600    0.0334685750    0.0022590776    
0.0164399690    0.0327971420    0.0022034157    
0.0165711770    0.0357386860    0.0022413448    
0.0167023860    0.0335849470    0.0021604105    
0.0168335940    0.0318062570    0.0021636829    
0.0169648030    0.0339949520    0.0021641689    
0.0170960110    0.0329310720    0.0021291809    
0.0172272190    0.0349726930    0.0021484300    
0.0173584280    0.0336874510    0.0021179463    
0.0174896360    0.0329345100    0.0021121474    
0.0176208450    0.0330218200    0.0021214741    
0.0177520530    0.0341967520    0.0020893727    
0.0178832620    0.0332391580    0.0020996505    
0.0180144700    0.0325053480    0.0020644977    
0.0181456790    0.0335676560    0.0020416869    
0.0182768870    0.0302759630    0.0020391760    
0.0184080950    0.0295514310    0.0020141866    
0.0185393040    0.0333606010    0.0020364419    
