# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472154_ascii/b21-472154_00016.dat
q(1/A)          Column          Error           
0.0045000000    0.5129452200    0.0185698640    
0.0046312084    0.4162195200    0.0170776690    
0.0047624169    0.4248309700    0.0158988990    
0.0048936253    0.3728190100    0.0143285980    
0.0050248338    0.3116921200    0.0131129660    
0.0051560422    0.3292837100    0.0125629570    
0.0052872507    0.2889435300    0.0116797880    
0.0054184591    0.2886020500    0.0115073030    
0.0055496676    0.2660487000    0.0103402650    
0.0056808760    0.2352578100    0.0099592413    
0.0058120845    0.2229301600    0.0091856638    
0.0059432929    0.2070605600    0.0087573845    
0.0060745014    0.1976828300    0.0086519530    
0.0062057098    0.1778597300    0.0077252491    
0.0063369183    0.1681498800    0.0077139117    
0.0064681267    0.1631585200    0.0073843498    
0.0065993352    0.1610137100    0.0069872045    
0.0067305436    0.1492242500    0.0069641695    
0.0068617521    0.1486810500    0.0065768193    
0.0069929605    0.1449424600    0.0065072887    
0.0071241689    0.1472629800    0.0066921187    
0.0072553774    0.1368472900    0.0062242962    
0.0073865858    0.1320711500    0.0061812437    
0.0075177943    0.1294129400    0.0059802458    
0.0076490027    0.1285291600    0.0057747704    
0.0077802112    0.1161432100    0.0057148142    
0.0079114196    0.1181050400    0.0055794841    
0.0080426281    0.1069814000    0.0052868557    
0.0081738365    0.1089534100    0.0053040678    
0.0083050450    0.1197795700    0.0053742198    
0.0084362534    0.0989085140    0.0049832926    
0.0085674619    0.1058727300    0.0050995853    
0.0086986703    0.1022087600    0.0048909541    
0.0088298788    0.0915498360    0.0047577806    
0.0089610872    0.0898968020    0.0045688900    
0.0090922957    0.0944820550    0.0046485007    
0.0092235041    0.0895283870    0.0045649792    
0.0093547126    0.0894309850    0.0044768085    
0.0094859210    0.0927714250    0.0045210454    
0.0096171294    0.0889963960    0.0044027023    
0.0097483379    0.0936796430    0.0044676627    
0.0098795463    0.0889350350    0.0043471733    
0.0100107550    0.0844591000    0.0041298927    
0.0101419630    0.0882276500    0.0042915353    
0.0102731720    0.0819616680    0.0041134090    
0.0104043800    0.0800962610    0.0039841020    
0.0105355890    0.0814724930    0.0040408281    
0.0106667970    0.0736064430    0.0038146493    
0.0107980050    0.0820873430    0.0039430747    
0.0109292140    0.0834091860    0.0040478744    
0.0110604220    0.0769311910    0.0037319988    
0.0111916310    0.0779655270    0.0037542832    
0.0113228390    0.0754073680    0.0036697250    
0.0114540480    0.0759224540    0.0036259862    
0.0115852560    0.0746920140    0.0035231536    
0.0117164650    0.0700690800    0.0034497834    
0.0118476730    0.0736554500    0.0034473460    
0.0119788820    0.0671700270    0.0033278526    
0.0121100900    0.0730261000    0.0033589622    
0.0122412980    0.0687609810    0.0032718603    
0.0123725070    0.0711933310    0.0032661844    
0.0125037150    0.0646765260    0.0030952437    
0.0126349240    0.0683161890    0.0031056297    
0.0127661320    0.0670825470    0.0030269851    
0.0128973410    0.0669776050    0.0029911521    
0.0130285490    0.0659841940    0.0029682643    
0.0131597580    0.0637441500    0.0028916969    
0.0132909660    0.0651275940    0.0029005555    
0.0134221740    0.0645754940    0.0028908611    
0.0135533830    0.0642427200    0.0028558379    
0.0136845910    0.0620780480    0.0028000602    
0.0138158000    0.0653826230    0.0028178103    
0.0139470080    0.0643356090    0.0027995167    
0.0140782170    0.0638638610    0.0027872944    
0.0142094250    0.0597219730    0.0027096893    
0.0143406340    0.0587504260    0.0027114427    
0.0144718420    0.0602670720    0.0026718028    
0.0146030500    0.0612279570    0.0026565180    
0.0147342590    0.0606582620    0.0026935815    
0.0148654670    0.0560263730    0.0025705855    
0.0149966760    0.0589551240    0.0025672183    
0.0151278840    0.0638769890    0.0026431652    
0.0152590930    0.0588602510    0.0025641489    
0.0153903010    0.0605971090    0.0025821229    
0.0155215100    0.0598430060    0.0025500448    
0.0156527180    0.0573179160    0.0025397678    
0.0157839260    0.0598538790    0.0025428422    
0.0159151350    0.0615076810    0.0025379846    
0.0160463430    0.0548202760    0.0024505360    
0.0161775520    0.0605181670    0.0025146054    
0.0163087600    0.0593469580    0.0024980428    
0.0164399690    0.0588753300    0.0024518354    
0.0165711770    0.0546637900    0.0024232268    
0.0167023860    0.0568810460    0.0024023092    
0.0168335940    0.0582078530    0.0023883336    
0.0169648030    0.0554843770    0.0023401812    
0.0170960110    0.0579686030    0.0023410259    
0.0172272190    0.0579387980    0.0023531470    
0.0173584280    0.0580119450    0.0022963807    
0.0174896360    0.0534192410    0.0022735730    
0.0176208450    0.0565248410    0.0023234685    
0.0177520530    0.0540524690    0.0022304927    
0.0178832620    0.0560437940    0.0022772204    
0.0180144700    0.0534355100    0.0022524200    
0.0181456790    0.0557110040    0.0022302899    
0.0182768870    0.0525351560    0.0022187536    
0.0184080950    0.0517656750    0.0022004583    
