# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472158_ascii/b21-472158_00017.dat
q(1/A)          Column          Error           
0.0045000000    0.4380621400    0.0173294490    
0.0046312084    0.3838871200    0.0165658380    
0.0047624169    0.3531797600    0.0146272110    
0.0048936253    0.2943594500    0.0128591290    
0.0050248338    0.2814637100    0.0125873400    
0.0051560422    0.2718178700    0.0115172930    
0.0052872507    0.2390861700    0.0107136860    
0.0054184591    0.2033549100    0.0097612451    
0.0055496676    0.2144945300    0.0093791229    
0.0056808760    0.1859650200    0.0089880996    
0.0058120845    0.1842729600    0.0084722151    
0.0059432929    0.1842784300    0.0083246967    
0.0060745014    0.1630780500    0.0079379710    
0.0062057098    0.1462884500    0.0070867724    
0.0063369183    0.1238022500    0.0067670758    
0.0064681267    0.1367645600    0.0068686697    
0.0065993352    0.1311481400    0.0064639558    
0.0067305436    0.1164702100    0.0062579587    
0.0068617521    0.1162424800    0.0059648347    
0.0069929605    0.1007239700    0.0056473650    
0.0071241689    0.1023798200    0.0057231059    
0.0072553774    0.0922327170    0.0053485960    
0.0073865858    0.0945830550    0.0054502421    
0.0075177943    0.0831741570    0.0050764350    
0.0076490027    0.0917828190    0.0051031847    
0.0077802112    0.0807956140    0.0049620377    
0.0079114196    0.0741955530    0.0047452500    
0.0080426281    0.0652531050    0.0045035581    
0.0081738365    0.0735352350    0.0046683770    
0.0083050450    0.0666486630    0.0043771294    
0.0084362534    0.0727038960    0.0045319610    
0.0085674619    0.0677287910    0.0044360153    
0.0086986703    0.0621239700    0.0042017769    
0.0088298788    0.0596089690    0.0042437648    
0.0089610872    0.0600787460    0.0040460450    
0.0090922957    0.0580606080    0.0040480549    
0.0092235041    0.0568085040    0.0039711469    
0.0093547126    0.0598821240    0.0040134119    
0.0094859210    0.0607651610    0.0040290172    
0.0096171294    0.0575695100    0.0039149715    
0.0097483379    0.0605708270    0.0039035603    
0.0098795463    0.0566672340    0.0038522271    
0.0100107550    0.0569578400    0.0037077959    
0.0101419630    0.0478956950    0.0036496262    
0.0102731720    0.0519406710    0.0037126546    
0.0104043800    0.0507458960    0.0035522015    
0.0105355890    0.0537912050    0.0036086942    
0.0106667970    0.0421986350    0.0033726270    
0.0107980050    0.0487815340    0.0034452401    
0.0109292140    0.0472764880    0.0034401319    
0.0110604220    0.0460556550    0.0033075871    
0.0111916310    0.0454293730    0.0032775652    
0.0113228390    0.0468834460    0.0032280801    
0.0114540480    0.0400249050    0.0031604644    
0.0115852560    0.0488875130    0.0032097238    
0.0117164650    0.0462984820    0.0031697777    
0.0118476730    0.0431728900    0.0030742058    
0.0119788820    0.0433788300    0.0030762996    
0.0121100900    0.0424863440    0.0029731492    
0.0122412980    0.0394954150    0.0029060171    
0.0123725070    0.0428143460    0.0029157163    
