# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472154_ascii/b21-472154_00015.dat
q(1/A)          Column          Error           
0.0045000000    0.5229609500    0.0187490580    
0.0046312084    0.4350499000    0.0174439120    
0.0047624169    0.4087124900    0.0155933540    
0.0048936253    0.3529479100    0.0139406040    
0.0050248338    0.3199106800    0.0132721310    
0.0051560422    0.3115086300    0.0122277690    
0.0052872507    0.2917289300    0.0117161160    
0.0054184591    0.2615400400    0.0109451100    
0.0055496676    0.2652114600    0.0103155300    
0.0056808760    0.2453262400    0.0101951710    
0.0058120845    0.2331015600    0.0093995128    
0.0059432929    0.2136409400    0.0088784965    
0.0060745014    0.1969068600    0.0086508217    
0.0062057098    0.1884535800    0.0079281912    
0.0063369183    0.1976544900    0.0083151813    
0.0064681267    0.1765681600    0.0076405227    
0.0065993352    0.1667101500    0.0071210871    
0.0067305436    0.1613456000    0.0072434806    
0.0068617521    0.1578631000    0.0067924332    
0.0069929605    0.1515370800    0.0066385298    
0.0071241689    0.1377249400    0.0064625303    
0.0072553774    0.1299466300    0.0060755765    
0.0073865858    0.1197437700    0.0058619408    
0.0075177943    0.1312830500    0.0060158135    
0.0076490027    0.1317945900    0.0058507863    
0.0077802112    0.1229590800    0.0057741535    
0.0079114196    0.1236172000    0.0056963328    
0.0080426281    0.1121432500    0.0053716605    
0.0081738365    0.1114038500    0.0053433142    
0.0083050450    0.1007316600    0.0049888131    
0.0084362534    0.1035168700    0.0050834178    
0.0085674619    0.0990670580    0.0050285105    
0.0086986703    0.1039573800    0.0049690371    
0.0088298788    0.0947021370    0.0048211590    
0.0089610872    0.0943580000    0.0047100924    
0.0090922957    0.0997297070    0.0047654606    
0.0092235041    0.0954561760    0.0046715649    
0.0093547126    0.0948569520    0.0045748105    
0.0094859210    0.0929622690    0.0045067628    
0.0096171294    0.0921698960    0.0044602578    
0.0097483379    0.0849766050    0.0043098422    
0.0098795463    0.0916475380    0.0044243061    
0.0100107550    0.0815423180    0.0040811485    
0.0101419630    0.0897273110    0.0043651751    
0.0102731720    0.0813883590    0.0041426904    
0.0104043800    0.0792114890    0.0039874169    
0.0105355890    0.0819954330    0.0040481222    
