# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472153_ascii/b21-472153_00014.dat
q(1/A)          Column          Error           
0.0045000000    0.4476176100    0.0174632260    
0.0046312084    0.3934538500    0.0167011860    
0.0047624169    0.3708415800    0.0149537760    
0.0048936253    0.3326220100    0.0136361540    
0.0050248338    0.2980204000    0.0129207330    
0.0051560422    0.2778464700    0.0116173450    
0.0052872507    0.2632564500    0.0112353460    
0.0054184591    0.2376972600    0.0105457890    
0.0055496676    0.2204155600    0.0094763891    
0.0056808760    0.2102686400    0.0094987931    
0.0058120845    0.1991202800    0.0087571542    
0.0059432929    0.2020288800    0.0086858412    
0.0060745014    0.1661250500    0.0080012077    
0.0062057098    0.1546913500    0.0073214544    
0.0063369183    0.1450586900    0.0071897630    
0.0064681267    0.1381239800    0.0068529972    
0.0065993352    0.1351164300    0.0064987876    
0.0067305436    0.1230556300    0.0064360058    
0.0068617521    0.1186191500    0.0059728975    
0.0069929605    0.1212421900    0.0060856040    
0.0071241689    0.1121570700    0.0059997246    
0.0072553774    0.0985030910    0.0054538958    
0.0073865858    0.1066225700    0.0056572170    
0.0075177943    0.0896201510    0.0052200932    
0.0076490027    0.1031298200    0.0052942094    
0.0077802112    0.0934703800    0.0052589519    
0.0079114196    0.0881134140    0.0050291922    
0.0080426281    0.0861852570    0.0049016720    
0.0081738365    0.0647014000    0.0044966224    
0.0083050450    0.0795142710    0.0046099264    
0.0084362534    0.0747095190    0.0045109936    
0.0085674619    0.0686023310    0.0043963078    
0.0086986703    0.0678639390    0.0042649300    
0.0088298788    0.0657475830    0.0042612395    
0.0089610872    0.0613119990    0.0041526755    
0.0090922957    0.0626968420    0.0040686378    
0.0092235041    0.0627807510    0.0040907029    
0.0093547126    0.0628711070    0.0040052604    
0.0094859210    0.0524606360    0.0038488182    
0.0096171294    0.0571013900    0.0038759077    
0.0097483379    0.0612693350    0.0039344997    
0.0098795463    0.0631105560    0.0039542585    
0.0100107550    0.0559580310    0.0036768447    
0.0101419630    0.0541838200    0.0037420955    
0.0102731720    0.0513202150    0.0036807840    
0.0104043800    0.0483843330    0.0035045357    
0.0105355890    0.0521001190    0.0036010348    
0.0106667970    0.0494977830    0.0034639049    
0.0107980050    0.0531397860    0.0035123465    
0.0109292140    0.0514149610    0.0035247567    
0.0110604220    0.0440669830    0.0032484649    
0.0111916310    0.0492422510    0.0033447091    
0.0113228390    0.0497985190    0.0032773767    
0.0114540480    0.0462262480    0.0031860114    
0.0115852560    0.0469077700    0.0031612780    
0.0117164650    0.0460842790    0.0031783244    
0.0118476730    0.0421360090    0.0030376352    
0.0119788820    0.0471162070    0.0030973935    
0.0121100900    0.0426912630    0.0029835033    
0.0122412980    0.0465441180    0.0029837687    
0.0123725070    0.0445592530    0.0029424176    
0.0125037150    0.0457350170    0.0028521784    
0.0126349240    0.0452042830    0.0028226055    
0.0127661320    0.0446426390    0.0027264210    
0.0128973410    0.0405933250    0.0026756853    
0.0130285490    0.0440175200    0.0027205408    
0.0131597580    0.0431392400    0.0026350154    
0.0132909660    0.0400919860    0.0026248594    
0.0134221740    0.0394786120    0.0026021873    
0.0135533830    0.0382483150    0.0025852761    
0.0136845910    0.0376037440    0.0025409878    
0.0138158000    0.0374430200    0.0025061636    
0.0139470080    0.0364116230    0.0025016618    
0.0140782170    0.0404008680    0.0025424630    
0.0142094250    0.0402199740    0.0025127802    
0.0143406340    0.0402426060    0.0024836473    
0.0144718420    0.0403029520    0.0025000399    
0.0146030500    0.0381704440    0.0024480260    
0.0147342590    0.0367131180    0.0024316048    
0.0148654670    0.0379445520    0.0024098699    
0.0149966760    0.0326058920    0.0023697766    
0.0151278840    0.0358225100    0.0023778685    
0.0152590930    0.0362166560    0.0023367637    
0.0153903010    0.0346490060    0.0023361806    
0.0155215100    0.0361769000    0.0023354784    
0.0156527180    0.0358396340    0.0023277287    
0.0157839260    0.0377062860    0.0023424270    
0.0159151350    0.0333005570    0.0022668170    
0.0160463430    0.0346392780    0.0022668173    
0.0161775520    0.0364100910    0.0023042572    
0.0163087600    0.0348638120    0.0022443501    
0.0164399690    0.0353787630    0.0022421202    
0.0165711770    0.0345116460    0.0022462594    
0.0167023860    0.0331943330    0.0021748044    
0.0168335940    0.0338730490    0.0021643424    
0.0169648030    0.0358784930    0.0021570946    
0.0170960110    0.0349490520    0.0021404012    
0.0172272190    0.0324112530    0.0021319272    
