# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472155_ascii/b21-472155_00004.dat
q(1/A)          Column          Error           
0.0045000000    0.4590072800    0.0176150640    
0.0046312084    0.4031638400    0.0168277340    
0.0047624169    0.3680127600    0.0148276570    
0.0048936253    0.3312076900    0.0135327790    
0.0050248338    0.3035609800    0.0129674610    
0.0051560422    0.2642105000    0.0112762290    
0.0052872507    0.2594066800    0.0110812860    
0.0054184591    0.2350411900    0.0104483550    
0.0055496676    0.2280490500    0.0095940805    
0.0056808760    0.2112839200    0.0094772087    
0.0058120845    0.2079033900    0.0089216171    
0.0059432929    0.1997937000    0.0085897873    
0.0060745014    0.1868117600    0.0084218508    
0.0062057098    0.1509298900    0.0072000497    
0.0063369183    0.1649971900    0.0076185899    
0.0064681267    0.1401374500    0.0069003473    
0.0065993352    0.1332637000    0.0064670470    
0.0067305436    0.1296188300    0.0065908733    
0.0068617521    0.1146356700    0.0059177133    
0.0069929605    0.1183894900    0.0059738070    
0.0071241689    0.1069388800    0.0058153009    
0.0072553774    0.1045047000    0.0055638002    
0.0073865858    0.0988946560    0.0054911315    
0.0075177943    0.0909578040    0.0052141995    
0.0076490027    0.0922889000    0.0050834799    
0.0077802112    0.0873300570    0.0050750066    
0.0079114196    0.0852808440    0.0049763348    
0.0080426281    0.0794488800    0.0047350360    
0.0081738365    0.0707862340    0.0045029464    
0.0083050450    0.0895011190    0.0048162739    
0.0084362534    0.0765716590    0.0045705660    
0.0085674619    0.0717314710    0.0045116334    
0.0086986703    0.0725451170    0.0043622358    
0.0088298788    0.0671828560    0.0042884550    
0.0089610872    0.0628844590    0.0040920086    
0.0090922957    0.0707802360    0.0042572604    
0.0092235041    0.0666740530    0.0040974473    
0.0093547126    0.0657283330    0.0040194608    
0.0094859210    0.0568678010    0.0038834306    
0.0096171294    0.0599722520    0.0039173711    
0.0097483379    0.0581820410    0.0038103191    
0.0098795463    0.0594010980    0.0038932845    
0.0100107550    0.0556234020    0.0036792128    
0.0101419630    0.0531141300    0.0036537514    
0.0102731720    0.0585671310    0.0037898417    
0.0104043800    0.0525027630    0.0035337717    
0.0105355890    0.0523332080    0.0035766951    
0.0106667970    0.0575016760    0.0035807211    
0.0107980050    0.0561811720    0.0035403499    
0.0109292140    0.0564656210    0.0035598428    
0.0110604220    0.0534153400    0.0034038360    
0.0111916310    0.0499033470    0.0033405471    
0.0113228390    0.0558548220    0.0033492775    
0.0114540480    0.0476070210    0.0031923250    
0.0115852560    0.0509625660    0.0031785726    
0.0117164650    0.0446534410    0.0030994705    
0.0118476730    0.0435437540    0.0030190792    
0.0119788820    0.0451480900    0.0030497352    
0.0121100900    0.0450812660    0.0029648463    
0.0122412980    0.0424666500    0.0029128318    
0.0123725070    0.0468426210    0.0029517268    
0.0125037150    0.0450701540    0.0028387835    
0.0126349240    0.0440794790    0.0027715800    
0.0127661320    0.0428830700    0.0027105460    
0.0128973410    0.0440642900    0.0026916465    
0.0130285490    0.0405993480    0.0026558846    
0.0131597580    0.0419889520    0.0026348538    
0.0132909660    0.0403554280    0.0026070373    
0.0134221740    0.0364781600    0.0025651790    
0.0135533830    0.0423470720    0.0025801555    
0.0136845910    0.0409108910    0.0025641547    
0.0138158000    0.0416211140    0.0025512693    
0.0139470080    0.0386591120    0.0024745607    
0.0140782170    0.0402267430    0.0025091139    
0.0142094250    0.0354207810    0.0023889148    
0.0143406340    0.0398708010    0.0024868195    
0.0144718420    0.0367057910    0.0024385089    
0.0146030500    0.0383766670    0.0024218285    
0.0147342590    0.0357159950    0.0024017940    
0.0148654670    0.0372298730    0.0023928048    
0.0149966760    0.0359141010    0.0023530783    
0.0151278840    0.0338701010    0.0023438132    
0.0152590930    0.0369374010    0.0023367884    
0.0153903010    0.0370506070    0.0023377927    
0.0155215100    0.0374996180    0.0023139007    
0.0156527180    0.0350796610    0.0023125934    
0.0157839260    0.0361610930    0.0023160569    
0.0159151350    0.0372206220    0.0022747558    
0.0160463430    0.0338218620    0.0022565578    
0.0161775520    0.0361573920    0.0022675735    
0.0163087600    0.0360968980    0.0022579983    
0.0164399690    0.0332872690    0.0022097898    
0.0165711770    0.0377494870    0.0022590180    
0.0167023860    0.0356474500    0.0021574369    
0.0168335940    0.0323424930    0.0021524326    
0.0169648030    0.0340534360    0.0021253899    
0.0170960110    0.0344778630    0.0021193292    
0.0172272190    0.0367418770    0.0021527656    
0.0173584280    0.0334493940    0.0020843633    
0.0174896360    0.0332792890    0.0020997050    
0.0176208450    0.0319797830    0.0020832627    
0.0177520530    0.0329113940    0.0020393028    
0.0178832620    0.0362975360    0.0021274019    
0.0180144700    0.0331139730    0.0020617786    
0.0181456790    0.0317595430    0.0020214981    
0.0182768870    0.0333632160    0.0020525949    
0.0184080950    0.0316466400    0.0020079735    
0.0185393040    0.0333941610    0.0020365703    
0.0186705120    0.0309820140    0.0020028789    
0.0188017210    0.0313435520    0.0019854786    
0.0189329290    0.0316407310    0.0020045806    
0.0190641380    0.0315277260    0.0019430714    
0.0191953460    0.0319563530    0.0019486111    
0.0193265550    0.0339554180    0.0019723828    
0.0194577630    0.0311113570    0.0019280564    
0.0195889710    0.0327167790    0.0019225628    
0.0197201800    0.0297008430    0.0019242083    
0.0198513880    0.0324032510    0.0018992996    
0.0199825970    0.0312844310    0.0019150397    
0.0201138050    0.0330379390    0.0019061703    
0.0202450140    0.0321083580    0.0018931290    
0.0203762220    0.0334048650    0.0019191313    
0.0205074310    0.0319000110    0.0018546467    
0.0206386390    0.0323240120    0.0018671464    
0.0207698470    0.0316713610    0.0018757709    
0.0209010560    0.0304651350    0.0018282103    
0.0210322640    0.0315572040    0.0018635432    
0.0211634730    0.0315165010    0.0018343945    
0.0212946810    0.0330297380    0.0018483231    
0.0214258900    0.0330864260    0.0018698391    
0.0215570980    0.0288329340    0.0018076447    
0.0216883070    0.0313078790    0.0018294412    
0.0218195150    0.0319125330    0.0018468707    
0.0219507240    0.0307910900    0.0017843093    
0.0220819320    0.0309987860    0.0018061027    
0.0222131400    0.0290808880    0.0017879599    
0.0223443490    0.0326602890    0.0017910232    
0.0224755570    0.0308713280    0.0018027171    
0.0226067660    0.0295357950    0.0017596049    
0.0227379740    0.0327998140    0.0017783748    
0.0228691830    0.0277529980    0.0017613977    
0.0230003910    0.0284215350    0.0017425696    
0.0231316000    0.0311029610    0.0017524143    
0.0232628080    0.0315846890    0.0017518909    
0.0233940160    0.0307251760    0.0017448546    
0.0235252250    0.0290926230    0.0017377269    
0.0236564330    0.0310151570    0.0017340527    
0.0237876420    0.0306157800    0.0017278822    
0.0239188500    0.0285312960    0.0017276730    
0.0240500590    0.0284623250    0.0016885055    
0.0241812670    0.0305657730    0.0017242586    
0.0243124760    0.0308082630    0.0017043957    
0.0244436840    0.0317663600    0.0017098109    
0.0245748920    0.0299752890    0.0017093057    
0.0247061010    0.0310894200    0.0017046578    
0.0248373090    0.0301370530    0.0016771371    
0.0249685180    0.0288814080    0.0016868725    
0.0250997260    0.0296809280    0.0016690179    
0.0252309350    0.0276605090    0.0016720515    
0.0253621430    0.0323380510    0.0016870141    
0.0254933520    0.0323806060    0.0016744934    
0.0256245600    0.0303828900    0.0016652479    
0.0257557680    0.0309766290    0.0016399392    
0.0258869770    0.0293843160    0.0016523184    
0.0260181850    0.0304900710    0.0016564479    
0.0261493940    0.0293527790    0.0016412974    
0.0262806020    0.0289065130    0.0016451744    
0.0264118110    0.0291215580    0.0016272501    
0.0265430190    0.0306086980    0.0016225704    
0.0266742280    0.0273920850    0.0016160486    
0.0268054360    0.0292040600    0.0016082175    
0.0269366450    0.0294092490    0.0016256095    
0.0270678530    0.0308586270    0.0016194661    
0.0271990610    0.0306432140    0.0015946539    
0.0273302700    0.0286048520    0.0015956078    
0.0274614780    0.0288665620    0.0015889644    
0.0275926870    0.0299967540    0.0016004686    
0.0277238950    0.0292970020    0.0015988735    
0.0278551040    0.0289832350    0.0015603984    
0.0279863120    0.0286873200    0.0015782229    
0.0281175210    0.0309912920    0.0015947790    
0.0282487290    0.0291742990    0.0015717514    
0.0283799370    0.0286583830    0.0015658510    
0.0285111460    0.0299035650    0.0015661135    
0.0286423540    0.0275245900    0.0015461763    
0.0287735630    0.0304175560    0.0015739254    
0.0289047710    0.0320329750    0.0015663906    
0.0290359800    0.0278992670    0.0015439754    
0.0291671880    0.0292066770    0.0015452309    
0.0292983970    0.0290189900    0.0015331041    
0.0294296050    0.0277775160    0.0015169468    
0.0295608130    0.0277052760    0.0015085757    
0.0296920220    0.0292047970    0.0015364588    
0.0298232300    0.0293029450    0.0015438351    
0.0299544390    0.0278855300    0.0015035801    
0.0300856470    0.0318789350    0.0015557255    
0.0302168560    0.0296733740    0.0015181570    
0.0303480640    0.0307385020    0.0015163932    
0.0304792730    0.0303201680    0.0015168507    
0.0306104810    0.0286050370    0.0015101568    
0.0307416890    0.0293569310    0.0014966458    
0.0308728980    0.0291105070    0.0015188583    
0.0310041060    0.0290351820    0.0014783303    
0.0311353150    0.0293415140    0.0014931505    
0.0312665230    0.0283549290    0.0015167516    
0.0313977320    0.0283123300    0.0015079135    
0.0315289400    0.0282073270    0.0015127275    
