# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472144_ascii/b21-472144_00006.dat
q(1/A)          Column          Error           
0.0045000000    0.4310854200    0.0171205890    
0.0046312084    0.3771032800    0.0163341560    
0.0047624169    0.3033025900    0.0135101710    
0.0048936253    0.2963115900    0.0128467370    
0.0050248338    0.2807162500    0.0125288810    
0.0051560422    0.2549921900    0.0111287520    
0.0052872507    0.2365530900    0.0106428330    
0.0054184591    0.2298096000    0.0103291520    
0.0055496676    0.1907537600    0.0088268514    
0.0056808760    0.1902687200    0.0090395776    
0.0058120845    0.1769397600    0.0082496855    
0.0059432929    0.1630085700    0.0078417563    
0.0060745014    0.1563087100    0.0077659211    
0.0062057098    0.1506908300    0.0071667605    
0.0063369183    0.1352818600    0.0070276289    
0.0064681267    0.1348659900    0.0068151939    
0.0065993352    0.1068424400    0.0058551437    
0.0067305436    0.1147304000    0.0063000204    
0.0068617521    0.1090746800    0.0057661902    
0.0069929605    0.1099472900    0.0057661906    
0.0071241689    0.0896669230    0.0055072958    
0.0072553774    0.0952431030    0.0054072706    
0.0073865858    0.1013156700    0.0055745452    
0.0075177943    0.0910773890    0.0052310397    
0.0076490027    0.0819816280    0.0048255366    
0.0077802112    0.0770720960    0.0049363815    
0.0079114196    0.0724340990    0.0046932684    
0.0080426281    0.0745447990    0.0046642324    
0.0081738365    0.0765393150    0.0046908098    
0.0083050450    0.0716078270    0.0044608155    
0.0084362534    0.0656785950    0.0042843720    
0.0085674619    0.0644380250    0.0043875328    
0.0086986703    0.0597080040    0.0041080641    
0.0088298788    0.0660736070    0.0042711309    
0.0089610872    0.0661451170    0.0041722954    
0.0090922957    0.0570381470    0.0039816643    
0.0092235041    0.0587931180    0.0040371749    
0.0093547126    0.0580600670    0.0039186234    
0.0094859210    0.0603633010    0.0039918255    
0.0096171294    0.0545709870    0.0038681713    
0.0097483379    0.0521605750    0.0037425201    
0.0098795463    0.0490098820    0.0037293362    
0.0100107550    0.0510700070    0.0035904824    
0.0101419630    0.0538845880    0.0037395113    
0.0102731720    0.0479929560    0.0036587139    
0.0104043800    0.0489952700    0.0035109327    
0.0105355890    0.0500170360    0.0035667234    
0.0106667970    0.0480074650    0.0034613641    
0.0107980050    0.0460868100    0.0033717498    
0.0109292140    0.0532256770    0.0035305989    
0.0110604220    0.0465565500    0.0033053998    
0.0111916310    0.0454501360    0.0032756344    
0.0113228390    0.0473548230    0.0032745668    
0.0114540480    0.0462857370    0.0032299548    
0.0115852560    0.0420014730    0.0030591331    
0.0117164650    0.0417980290    0.0030612371    
0.0118476730    0.0424696390    0.0030219633    
0.0119788820    0.0450570570    0.0030656105    
0.0121100900    0.0450101540    0.0029625327    
0.0122412980    0.0391030010    0.0028838149    
0.0123725070    0.0390407980    0.0028935474    
0.0125037150    0.0413722570    0.0028096191    
0.0126349240    0.0411962560    0.0027664841    
0.0127661320    0.0429704120    0.0027115639    
0.0128973410    0.0380771350    0.0026542373    
0.0130285490    0.0369638320    0.0026468394    
0.0131597580    0.0386180120    0.0026186081    
0.0132909660    0.0390542300    0.0026196201    
0.0134221740    0.0407803990    0.0025991638    
0.0135533830    0.0396321010    0.0025948295    
0.0136845910    0.0370173970    0.0025068858    
0.0138158000    0.0364568620    0.0025032106    
0.0139470080    0.0371398030    0.0024966685    
0.0140782170    0.0394175360    0.0025314342    
0.0142094250    0.0370371100    0.0024927255    
0.0143406340    0.0349363460    0.0024232825    
0.0144718420    0.0353499470    0.0024470281    
0.0146030500    0.0345287830    0.0023995087    
0.0147342590    0.0380599870    0.0024396449    
0.0148654670    0.0357598970    0.0023892772    
0.0149966760    0.0397216040    0.0023962810    
0.0151278840    0.0348436220    0.0023661732    
0.0152590930    0.0318920890    0.0022947835    
0.0153903010    0.0372330310    0.0023448980    
0.0155215100    0.0342599250    0.0023291608    
0.0156527180    0.0336945850    0.0022923548    
0.0157839260    0.0330670790    0.0022945302    
0.0159151350    0.0344031270    0.0022699847    
0.0160463430    0.0338186130    0.0022514794    
0.0161775520    0.0356629390    0.0022825944    
0.0163087600    0.0317435460    0.0022337920    
0.0164399690    0.0359545200    0.0022420167    
0.0165711770    0.0339542110    0.0022299145    
0.0167023860    0.0352902820    0.0021896109    
0.0168335940    0.0325789370    0.0021627410    
0.0169648030    0.0322713260    0.0021435693    
0.0170960110    0.0359996140    0.0021685258    
0.0172272190    0.0338510510    0.0021422496    
0.0173584280    0.0306440490    0.0020844779    
0.0174896360    0.0358495280    0.0021349620    
0.0176208450    0.0331022260    0.0021128170    
0.0177520530    0.0321006650    0.0020649447    
0.0178832620    0.0320195760    0.0020688668    
0.0180144700    0.0356079420    0.0020899248    
0.0181456790    0.0316477280    0.0020281244    
0.0182768870    0.0338193780    0.0020760571    
0.0184080950    0.0317414750    0.0020318470    
0.0185393040    0.0354694110    0.0020345742    
0.0186705120    0.0289500010    0.0020012036    
0.0188017210    0.0339555370    0.0020206970    
0.0189329290    0.0327480200    0.0020315650    
0.0190641380    0.0310567270    0.0019468598    
