# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2026/sm41128-1/processed/b21-472158_ascii/b21-472158_00002.dat
q(1/A)          Column          Error           
0.0045000000    0.4456938100    0.0174815290    
0.0046312084    0.3576171600    0.0159612350    
0.0047624169    0.3447778700    0.0144538400    
0.0048936253    0.2977920200    0.0129352360    
0.0050248338    0.2725554200    0.0123760780    
0.0051560422    0.2660229900    0.0114160620    
0.0052872507    0.2516014100    0.0109912390    
0.0054184591    0.2257945200    0.0102845710    
0.0055496676    0.2055534500    0.0091924662    
0.0056808760    0.1997226500    0.0092718059    
0.0058120845    0.1858545100    0.0085090367    
0.0059432929    0.1809559300    0.0082760954    
0.0060745014    0.1562394900    0.0078752067    
0.0062057098    0.1453083100    0.0071525519    
0.0063369183    0.1383366100    0.0070760413    
0.0064681267    0.1344604700    0.0067805449    
0.0065993352    0.1308718100    0.0064070624    
0.0067305436    0.1343945800    0.0067478578    
0.0068617521    0.1139262600    0.0058938861    
0.0069929605    0.0954754810    0.0054555557    
0.0071241689    0.1063419600    0.0058277163    
0.0072553774    0.0897302640    0.0052683706    
0.0073865858    0.0880508580    0.0053310056    
0.0075177943    0.0851152420    0.0051513016    
0.0076490027    0.0815177720    0.0048451499    
0.0077802112    0.0735890850    0.0048611349    
0.0079114196    0.0726771830    0.0047117213    
0.0080426281    0.0740542030    0.0046559351    
0.0081738365    0.0743052400    0.0046829266    
0.0083050450    0.0713919320    0.0044853201    
0.0084362534    0.0668370710    0.0043522329    
0.0085674619    0.0675058310    0.0044689800    
0.0086986703    0.0690923570    0.0043440511    
0.0088298788    0.0635361340    0.0043251289    
0.0089610872    0.0624789090    0.0041275775    
0.0090922957    0.0627884510    0.0041498059    
0.0092235041    0.0540128980    0.0039128607    
0.0093547126    0.0568190510    0.0039081167    
0.0094859210    0.0572646950    0.0039441905    
0.0096171294    0.0500807710    0.0037550966    
0.0097483379    0.0609781630    0.0039242276    
0.0098795463    0.0558875340    0.0038172693    
0.0100107550    0.0525316450    0.0036009929    
0.0101419630    0.0502154670    0.0036908033    
0.0102731720    0.0521436180    0.0037233196    
0.0104043800    0.0525385330    0.0035752667    
0.0105355890    0.0458326760    0.0035313965    
0.0106667970    0.0495641500    0.0034808056    
0.0107980050    0.0446982550    0.0033949773    
0.0109292140    0.0476376370    0.0034896073    
0.0110604220    0.0444441950    0.0032763823    
0.0111916310    0.0383246890    0.0031893714    
0.0113228390    0.0503562180    0.0033233077    
0.0114540480    0.0438541580    0.0031722508    
0.0115852560    0.0461087360    0.0031800943    
0.0117164650    0.0404840820    0.0030442493    
