#DAT file by SAXSII - Timestamp: 09/12/2024 14:40:48
radial-q_A^-1,intensity,sigma
0.00012720999243161018,6379125.5,827.9457
0.0002797691318333428,6133578.0,536.7917
0.00043232827123507536,5865165.0,422.9374
0.000584887410636808,5506468.5,348.5763
0.0007374465500385405,5067404.5,294.82605
0.0008900056894402731,4566645.0,254.28046
0.0010425648288420058,4036757.0,221.195
0.0011951239682437384,3510393.0,194.76297
0.001347683107645471,2981880.2,170.92062
0.0015002422470472036,2455616.2,146.29274
0.001652801386448936,1951214.0,122.56357
0.0018053605258506686,1492819.2,101.60889
0.0019579196652524016,1099005.8,83.63293
0.002110478804654134,772727.75,68.310936
0.0022630379440558668,518653.78,55.015415
0.002415597083457599,330844.84,42.549072
0.002568156222859332,200477.83,31.58348
0.0027207153622610643,119215.07,23.390509
0.0028732745016627967,69187.51,17.261303
0.0030258336410645295,39160.395,12.72909
0.003178392780466262,21712.363,9.38907
0.0033309519198679947,11493.921,6.686548
0.003483511059269727,5853.9375,4.6352634
0.0036360701986714594,2840.323,3.1410894
0.0037886293380731927,1314.9618,2.078298
0.003941188477474925,595.2362,1.3731011
0.004093747616876658,264.81287,0.9067321
0.004246306756278391,117.77781,0.5978884
0.004398865895680123,51.140133,0.3847606
0.004551425035081855,22.70174,0.25135264
0.004703984174483589,10.392419,0.16795829
0.004856543313885321,4.9719763,0.115860395
0.005009102453287053,2.7020915,0.08623815
0.005161661592688786,1.731098,0.06987914
0.005314220732090518,1.3474851,0.06239391
0.005466779871492251,1.1316808,0.057957325
0.005619339010893984,1.1368854,0.058007058
0.005771898150295716,0.9137061,0.053585887
0.0059244572896974485,0.95406884,0.054289784
0.006077016429099181,0.81744033,0.052305385
0.006229575568500914,0.7658854,0.050499145
0.006382134707902647,0.7133279,0.049558483
0.00653469384730438,0.6594551,0.04848947
0.006687252986706112,0.5817519,0.04728555
0.0068398121261078445,0.5167166,0.045796026
0.006992371265509577,0.48967436,0.04542541
0.00714493040491131,0.49078012,0.044736244
0.0072974895443130424,0.47390053,0.044062734
0.0074500486837147765,0.46089113,0.043842155
0.007602607823116509,0.438111,0.042677954
0.007755166962518241,0.423146,0.04190835
0.007907726101919975,0.396318,0.04180949
0.008060285241321706,0.37885147,0.040945947
0.00821284438072344,0.37359333,0.04069413
0.00836540352012517,0.3580314,0.040176045
0.008517962659526904,0.29819548,0.039476197
0.008670521798928637,0.3011609,0.03928712
0.008823080938330369,0.30011547,0.03912677
0.008975640077732102,0.31219688,0.03831252
0.009128199217133834,0.31071663,0.038315628
0.009280758356535567,0.2742447,0.03785125
0.0094333174959373,0.29249236,0.037599012
0.009585876635339032,0.27945772,0.0373172
0.009738435774740765,0.27829677,0.0369717
0.009890994914142498,0.2735579,0.03647192
0.01004355405354423,0.21097782,0.036105867
0.010196113192945963,0.20589843,0.03577865
0.010348672332347694,0.22662388,0.035611074
0.010501231471749427,0.222899,0.035415243
0.01065379061115116,0.22248766,0.035233073
0.010806349750552892,0.21375,0.0347785
0.010958908889954625,0.18572585,0.0344008
0.011111468029356357,0.21790108,0.034347836
0.01126402716875809,0.23424038,0.034088332
0.011416586308159823,0.23252365,0.033800248
0.011569145447561555,0.21934076,0.033739097
0.011721704586963288,0.2097408,0.033332605
0.01187426372636502,0.1911199,0.03308124
0.012026822865766753,0.19496222,0.032929476
0.012179382005168486,0.21057186,0.0329063
0.012331941144570218,0.20915608,0.03247371
0.012484500283971953,0.16358525,0.03232971
0.012637059423373682,0.1895212,0.032187022
0.012789618562775416,0.1867684,0.031926923
0.012942177702177147,0.18521039,0.031671807
0.01309473684157888,0.18437658,0.031589437
0.013247295980980612,0.17777047,0.031304043
0.013399855120382345,0.1601751,0.031101653
0.013552414259784077,0.16799673,0.030972123
0.013704973399185812,0.15695943,0.03069269
0.013857532538587541,0.1713154,0.030570667
0.014010091677989276,0.18122976,0.0304683
0.014162650817391008,0.15523948,0.030304737
0.014315209956792741,0.17574517,0.030131193
0.014467769096194473,0.16199443,0.029933067
0.014620328235596206,0.1617535,0.029759137
0.01477288737499794,0.16310132,0.0296355
0.01492544651439967,0.16302676,0.029520605
0.015078005653801406,0.18526709,0.029446749
0.015230564793203137,0.1883897,0.029297771
0.01538312393260487,0.16199918,0.029033568
0.015535683072006602,0.14949782,0.028802322
0.015688242211408337,0.15176983,0.028731931
0.015840801350810067,0.15104322,0.028601024
0.0159933604902118,0.15470159,0.028395634
0.016145919629613533,0.1265099,0.028279314
0.016298478769015266,0.12880422,0.02821359
0.016451037908416996,0.13505816,0.027959675
0.01660359704781873,0.13718967,0.027847305
0.016756156187220463,0.16243838,0.027856454
0.016908715326622196,0.14396761,0.027678344
0.017061274466023926,0.14522271,0.027530525
0.017213833605425662,0.14096445,0.027460245
0.017366392744827392,0.13060574,0.027217278
0.017518951884229125,0.13840072,0.02707707
0.01767151102363086,0.12616129,0.027024863
